# test_new_list_vector_float()
# RSS was 108,679,168 now 188,977,152 diff: +80,297,984
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000333      0.000001158      0.000000458      0.000001504      0.000003834       11.514        166.5
4                   5      0.000000375      0.000000517      0.000000417      0.000000247      0.000000958        2.555         93.7
8                   5      0.000000458      0.000000558      0.000000500      0.000000134      0.000000792        1.729         57.2
16                  5      0.000000666      0.000000725      0.000000667      0.000000130      0.000000958        1.438         41.6
32                  5      0.000000958      0.000001417      0.000001000      0.000000932      0.000003084        3.219         29.9
64                  5      0.000001708      0.000001933      0.000001750      0.000000413      0.000002666        1.561         26.7
128                 5      0.000003458      0.000003667      0.000003459      0.000000420      0.000004416        1.277         27.0
256                 5      0.000007666      0.000007758      0.000007708      0.000000160      0.000008041        1.049         29.9
512                 5      0.000016041      0.000016175      0.000016083      0.000000231      0.000016583        1.034         31.3
1024                5      0.000032667      0.000033267      0.000032750      0.000001179      0.000035375        1.083         31.9
2048                5      0.000066541      0.000067175      0.000066666      0.000001255      0.000069417        1.043         32.5
4096                5      0.000132958      0.000134241      0.000133916      0.000001345      0.000136500        1.027         32.5
8192                5      0.000266917      0.000268559      0.000268833      0.000001497      0.000270500        1.013         32.6
16384               5      0.000531042      0.000532142      0.000531875      0.000001131      0.000534041        1.006         32.4
32768               5      0.001072834      0.001082825      0.001076083      0.000014104      0.001106750        1.032         32.7
65536               5      0.002149625      0.002307358      0.002154083      0.000239445      0.002695459        1.254         32.8
131072              5      0.004146333      0.004507825      0.004324833      0.000422331      0.005062167        1.221         31.6
262144              5      0.008545375      0.009179850      0.009210292      0.000510778      0.009812792        1.148         32.6
524288              5      0.018824833      0.020363650      0.020460042      0.001428584      0.022468208        1.194         35.9
1048576             5      0.041411416      0.049792808      0.044312500      0.010571053      0.065689000        1.586         39.5
