# test_new_list_vector_int():
# RSS was 86,007,808 now 132,419,584 diff: +46,411,776
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000417      0.000001075      0.000000500      0.000001244      0.000003291        7.892        208.5
4                   5      0.000000417      0.000000509      0.000000459      0.000000136      0.000000750        1.799        104.2
8                   5      0.000000500      0.000000617      0.000000542      0.000000151      0.000000875        1.750         62.5
16                  5      0.000000666      0.000000683      0.000000667      0.000000037      0.000000750        1.126         41.6
32                  5      0.000000958      0.000001058      0.000001000      0.000000178      0.000001375        1.435         29.9
64                  5      0.000001625      0.000002042      0.000001667      0.000000817      0.000003500        2.154         25.4
128                 5      0.000002916      0.000003075      0.000002958      0.000000266      0.000003542        1.215         22.8
256                 5      0.000005417      0.000005642      0.000005625      0.000000163      0.000005875        1.085         21.2
512                 5      0.000015167      0.000015392      0.000015292      0.000000304      0.000015916        1.049         29.6
1024                5      0.000034833      0.000035508      0.000034917      0.000001348      0.000037917        1.089         34.0
2048                5      0.000074458      0.000075025      0.000074708      0.000000878      0.000076583        1.029         36.4
4096                5      0.000153542      0.000155692      0.000153666      0.000004530      0.000163792        1.067         37.5
8192                5      0.000308833      0.000315767      0.000309000      0.000014994      0.000342584        1.109         37.7
16384               5      0.000624542      0.000644192      0.000625042      0.000042845      0.000720833        1.154         38.1
32768               5      0.001246542      0.001281067      0.001246667      0.000076944      0.001418708        1.138         38.0
65536               5      0.002508584      0.002576425      0.002510250      0.000148163      0.002841459        1.133         38.3
131072              5      0.005696667      0.005748508      0.005712542      0.000077554      0.005883625        1.033         43.5
262144              5      0.012056959      0.012187200      0.012153375      0.000130859      0.012337375        1.023         46.0
524288              5      0.025492042      0.026646183      0.027003458      0.001062678      0.027618833        1.083         48.6
1048576             5      0.051476125      0.055262117      0.053765250      0.004737247      0.062927208        1.222         49.1
