# test_new_list_vector_int():
# RSS was 67,547,136 now 90,603,520 diff: 23,056,384
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000298      0.000000765      0.000000312      0.000000980      0.000002517        8.446        149.0
4                   5      0.000000326      0.000000391      0.000000329      0.000000111      0.000000585        1.794         81.5
8                   5      0.000000400      0.000000470      0.000000410      0.000000118      0.000000678        1.695         50.0
16                  5      0.000000529      0.000000601      0.000000556      0.000000122      0.000000817        1.544         33.1
32                  5      0.000000787      0.000000852      0.000000822      0.000000083      0.000000996        1.266         24.6
64                  5      0.000001331      0.000001395      0.000001364      0.000000076      0.000001521        1.143         20.8
128                 5      0.000002304      0.000002543      0.000002376      0.000000372      0.000003197        1.388         18.0
256                 5      0.000004207      0.000004321      0.000004249      0.000000161      0.000004599        1.093         16.4
512                 5      0.000010727      0.000011579      0.000011015      0.000001443      0.000014150        1.319         21.0
1024                5      0.000024235      0.000026929      0.000024413      0.000005768      0.000037245        1.537         23.7
2048                5      0.000050544      0.000054725      0.000051014      0.000008417      0.000069771        1.380         24.7
4096                5      0.000103119      0.000115813      0.000104430      0.000025118      0.000160661        1.558         25.2
8192                5      0.000209648      0.000219044      0.000212356      0.000017000      0.000249325        1.189         25.6
16384               5      0.000416279      0.000456544      0.000429412      0.000067178      0.000576206        1.384         25.4
32768               5      0.000910783      0.001093411      0.000973930      0.000313011      0.001650288        1.812         27.8
65536               5      0.001907998      0.002358094      0.001986472      0.000864355      0.003901676        2.045         29.1
131072              5      0.004133754      0.004938464      0.004245252      0.001306685      0.007211485        1.745         31.5
262144              5      0.010424548      0.010995915      0.010723794      0.000765954      0.012343086        1.184         39.8
524288              5      0.023833815      0.024627027      0.024311582      0.001020322      0.026406216        1.108         45.5
1048576             5      0.049605206      0.050887812      0.050174802      0.002149366      0.054705333        1.103         47.3
