# RSS was 373,972,992 now 334,327,808 diff: -39,645,184
# test_new_list_vector_str16() String length 1024
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000917      0.000001917      0.000001084      0.000001916      0.000005334        5.817        458.5
4                   5      0.000001458      0.000002917      0.000001542      0.000003075      0.000008417        5.773        364.5
8                   5      0.000002708      0.000003558      0.000002750      0.000001831      0.000006833        2.523        338.5
16                  5      0.000005167      0.000005658      0.000005209      0.000001006      0.000007458        1.443        322.9
32                  5      0.000011750      0.000012000      0.000011916      0.000000318      0.000012541        1.067        367.2
64                  5      0.000022833      0.000032158      0.000038042      0.000008498      0.000038792        1.699        356.8
128                 5      0.000044208      0.000060909      0.000044334      0.000023579      0.000094500        2.138        345.4
256                 5      0.000087458      0.000087650      0.000087542      0.000000203      0.000087958        1.006        341.6
512                 5      0.000175916      0.000196442      0.000201000      0.000019606      0.000217375        1.236        343.6
1024                5      0.000352625      0.000419950      0.000354291      0.000091909      0.000536333        1.521        344.4
2048                5      0.000763958      0.000816025      0.000797916      0.000051285      0.000895709        1.172        373.0
4096                5      0.001589333      0.001597983      0.001595791      0.000007760      0.001610292        1.013        388.0
8192                5      0.003764916      0.003829192      0.003833542      0.000038578      0.003863250        1.026        459.6
16384               5      0.015807041      0.016850600      0.017333250      0.000948167      0.017709833        1.120        964.8
32768               5      0.047793250      0.048566142      0.048219917      0.000860531      0.049994167        1.046       1458.5
65536               5      0.097368875      0.101792792      0.100317333      0.004923252      0.109388625        1.123       1485.7
131072              5      0.227569542      0.229774808      0.229790500      0.001859614      0.232287625        1.021       1736.2
262144              5      0.471803000      0.484016608      0.485939833      0.007049055      0.488875333        1.036       1799.8
524288              5      0.973246125      1.062427442      1.008315917      0.109812342      1.216660958        1.250       1856.3
1048576             5      3.644195583      3.755092084      3.723207625      0.091829845      3.878077709        1.064       3475.4
RSS was 373,972,992 now 334,856,192 diff: -39,116,800
