# RSS was 373,972,992 now 380,428,288 diff: +6,455,296
# test_new_list_vector_str16() String length 2
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000458      0.000004050      0.000000542      0.000007753      0.000017916       39.120        229.0
4                   5      0.000000541      0.000000592      0.000000542      0.000000112      0.000000792        1.464        135.2
8                   5      0.000000667      0.000001309      0.000000709      0.000001365      0.000003750        5.622         83.4
16                  5      0.000001000      0.000001367      0.000001042      0.000000750      0.000002708        2.708         62.5
32                  5      0.000001666      0.000001808      0.000001667      0.000000317      0.000002375        1.426         52.1
64                  5      0.000002834      0.000047242      0.000002917      0.000098742      0.000223875       78.996         44.3
128                 5      0.000005375      0.000005525      0.000005375      0.000000271      0.000006000        1.116         42.0
256                 5      0.000010333      0.000010425      0.000010333      0.000000205      0.000010791        1.044         40.4
512                 5      0.000020125      0.000020283      0.000020167      0.000000262      0.000020750        1.031         39.3
1024                5      0.000039917      0.000040250      0.000040041      0.000000539      0.000041208        1.032         39.0
2048                5      0.000079416      0.000080458      0.000079500      0.000002079      0.000084166        1.060         38.8
4096                5      0.000158250      0.000158983      0.000158292      0.000001459      0.000161584        1.021         38.6
8192                5      0.000315917      0.000316983      0.000316166      0.000001773      0.000320125        1.013         38.6
16384               5      0.000631125      0.000633225      0.000631375      0.000004148      0.000640625        1.015         38.5
32768               5      0.001260750      0.001264733      0.001261333      0.000008002      0.001279041        1.015         38.5
65536               5      0.002523125      0.002529550      0.002523500      0.000012377      0.002551584        1.011         38.5
131072              5      0.005739875      0.005790109      0.005751500      0.000095114      0.005959959        1.038         43.8
262144              5      0.013140708      0.013427367      0.013222375      0.000497856      0.014312625        1.089         50.1
524288              5      0.028625250      0.029696367      0.028902375      0.001965567      0.033205542        1.160         54.6
1048576             5      0.060162834      0.060893183      0.060252416      0.001145205      0.062849875        1.045         57.4
