# RSS was 225,783,808 now 153,509,888 diff: -72,273,920
# test_new_list_vector_str() String length 16
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000409      0.000001531      0.000000456      0.000002368      0.000005763       14.090        204.5
4                   5      0.000000522      0.000000622      0.000000544      0.000000157      0.000000896        1.716        130.5
8                   5      0.000000753      0.000000832      0.000000756      0.000000151      0.000001100        1.461         94.1
16                  5      0.000001254      0.000001427      0.000001275      0.000000326      0.000002009        1.602         78.4
32                  5      0.000002089      0.000002147      0.000002131      0.000000074      0.000002270        1.087         65.3
64                  5      0.000003747      0.000004262      0.000003826      0.000001030      0.000006103        1.629         58.5
128                 5      0.000007134      0.000007352      0.000007218      0.000000333      0.000007934        1.112         55.7
256                 5      0.000013944      0.000016969      0.000014257      0.000005945      0.000027578        1.978         54.5
512                 5      0.000026679      0.000027004      0.000026850      0.000000429      0.000027751        1.040         52.1
1024                5      0.000052582      0.000053192      0.000052748      0.000000863      0.000054663        1.040         51.3
2048                5      0.000105640      0.000124056      0.000110763      0.000030389      0.000177537        1.681         51.6
4096                5      0.000209913      0.000220303      0.000211021      0.000020711      0.000257320        1.226         51.2
8192                5      0.000408255      0.000423022      0.000411746      0.000026437      0.000470174        1.152         49.8
16384               5      0.000857820      0.000985460      0.000906486      0.000138798      0.001147545        1.338         52.4
32768               5      0.001752389      0.001878114      0.001831988      0.000188904      0.002207442        1.260         53.5
65536               5      0.004456551      0.004951603      0.004547697      0.000638069      0.005781499        1.297         68.0
131072              5      0.010623925      0.011446499      0.011058777      0.001024092      0.013209606        1.243         81.1
262144              5      0.023103395      0.023869899      0.023928198      0.000563496      0.024664934        1.068         88.1
524288              5      0.046598162      0.048790132      0.048718498      0.002231156      0.052006316        1.116         88.9
1048576             5      0.109690487      0.117386289      0.119342704      0.005738242      0.123029813        1.122        104.6
