# RSS was 388,685,824 now 407,359,488 diff: +18,673,664
# test_new_list_vector_str() String length 2
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000375      0.000001233      0.000000500      0.000001559      0.000004000       10.667        187.5
4                   5      0.000000458      0.000000541      0.000000500      0.000000122      0.000000750        1.638        114.5
8                   5      0.000000625      0.000001858      0.000000667      0.000002642      0.000006583       10.533         78.1
16                  5      0.000000958      0.000001350      0.000001042      0.000000739      0.000002667        2.784         59.9
32                  5      0.000001625      0.000001783      0.000001625      0.000000331      0.000002375        1.462         50.8
64                  5      0.000002750      0.000002942      0.000002750      0.000000325      0.000003500        1.273         43.0
128                 5      0.000005166      0.000005350      0.000005250      0.000000254      0.000005791        1.121         40.4
256                 5      0.000009958      0.000010050      0.000010000      0.000000099      0.000010208        1.025         38.9
512                 5      0.000019583      0.000019758      0.000019584      0.000000347      0.000020375        1.040         38.2
1024                5      0.000038750      0.000039075      0.000038916      0.000000475      0.000039916        1.030         37.8
2048                5      0.000077584      0.000078575      0.000077833      0.000001918      0.000082000        1.057         37.9
4096                5      0.000154791      0.000156258      0.000155667      0.000001902      0.000159417        1.030         37.8
8192                5      0.000309667      0.000310892      0.000310875      0.000000911      0.000311833        1.007         37.8
16384               5      0.000618166      0.000621025      0.000620333      0.000003061      0.000626084        1.013         37.7
32768               5      0.001241583      0.001246717      0.001243667      0.000005929      0.001254167        1.010         37.9
65536               5      0.002475958      0.002499383      0.002478125      0.000039797      0.002569000        1.038         37.8
131072              5      0.005653083      0.005679175      0.005665208      0.000037813      0.005744625        1.016         43.1
262144              5      0.012254167      0.012449033      0.012318167      0.000341908      0.013058791        1.066         46.7
524288              5      0.025608834      0.026339925      0.025974875      0.001181618      0.028425000        1.110         48.8
1048576             5      0.054396291      0.055164867      0.054527875      0.001133544      0.057046084        1.049         51.9
