#RSS was 335,532,032 now 2,289,033,216 diff: 1,953,501,184
#test_new_set_bytes() Byte length 1024
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
#Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000004023      0.000006480      0.000005743      0.000003236      0.000012098        3.007       2011.5
4                   5      0.000007240      0.000008246      0.000008274      0.000001013      0.000009853        1.361       1810.0
8                   5      0.000014624      0.000016093      0.000015629      0.000001761      0.000018901        1.292       1828.0
16                  5      0.000026330      0.000031137      0.000028155      0.000008398      0.000046071        1.750       1645.6
32                  5      0.000051841      0.000054595      0.000054135      0.000003336      0.000060150        1.160       1620.0
64                  5      0.000098506      0.000101195      0.000099592      0.000003578      0.000107161        1.088       1539.2
128                 5      0.000198214      0.000203857      0.000201872      0.000005822      0.000210214        1.061       1548.5
256                 5      0.000380708      0.000409160      0.000397668      0.000030617      0.000460333        1.209       1487.1
512                 5      0.000653136      0.000698771      0.000685945      0.000043128      0.000765182        1.172       1275.7
1024                5      0.001252362      0.001385624      0.001400151      0.000116097      0.001521981        1.215       1223.0
2048                5      0.003240352      0.003332649      0.003313972      0.000072666      0.003423930        1.057       1582.2
4096                5      0.007562766      0.008511523      0.008475622      0.000855436      0.009690537        1.281       1846.4
8192                5      0.015227101      0.017959780      0.018423957      0.001893249      0.020316316        1.334       1858.8
16384               5      0.035858942      0.038975959      0.037792277      0.003530697      0.045056211        1.256       2188.7
32768               5      0.089347622      0.092599899      0.093084779      0.002142606      0.095240231        1.066       2726.7
65536               5      0.238119259      0.250537961      0.252024436      0.007944738      0.259506222        1.090       3633.4
131072              5      0.533880230      0.544795260      0.538085248      0.012782797      0.560823623        1.050       4073.2
262144              5      1.116705964      1.155940605      1.144785316      0.040898025      1.224116653        1.096       4259.9
524288              5      2.424222918      2.468292138      2.431575100      0.084400240      2.619018417        1.080       4623.8
1048576             5      5.110316072      5.173974930      5.145211634      0.093447956      5.338287801        1.045       4873.6
