#RSS was 216,199,168 now 335,532,032 diff: 119,332,864
#test_new_set_bytes() Byte length 128
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
#Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000723      0.000002042      0.000000765      0.000002607      0.000006684        9.245        361.5
4                   5      0.000000728      0.000000782      0.000000733      0.000000103      0.000000964        1.324        182.0
8                   5      0.000001717      0.000002148      0.000001881      0.000000724      0.000003427        1.996        214.6
16                  5      0.000000746      0.000000803      0.000000777      0.000000077      0.000000938        1.257         46.6
32                  5      0.000002750      0.000003226      0.000003045      0.000000658      0.000004366        1.588         85.9
64                  5      0.000004322      0.000004910      0.000004711      0.000000771      0.000006229        1.441         67.5
128                 5      0.000007232      0.000007921      0.000007602      0.000000815      0.000009299        1.286         56.5
256                 5      0.000018797      0.000021112      0.000019835      0.000003007      0.000026180        1.393         73.4
512                 5      0.000034891      0.000036265      0.000035568      0.000001627      0.000038798        1.112         68.1
1024                5      0.000060669      0.000077359      0.000063404      0.000031320      0.000133130        2.194         59.2
2048                5      0.000136459      0.000165706      0.000159216      0.000038009      0.000230604        1.690         66.6
4096                5      0.000264703      0.000274052      0.000265497      0.000016499      0.000303062        1.145         64.6
8192                5      0.000492094      0.000534078      0.000500239      0.000064397      0.000643972        1.309         60.1
16384               5      0.001061832      0.001127698      0.001080814      0.000075954      0.001214477        1.144         64.8
32768               5      0.002016304      0.002244301      0.002258791      0.000233280      0.002555201        1.267         61.5
65536               5      0.004851307      0.005411133      0.005138889      0.000589203      0.006212962        1.281         74.0
131072              5      0.011463786      0.011821452      0.011862478      0.000273780      0.012202732        1.064         87.5
262144              5      0.027623238      0.028251320      0.028047099      0.000727194      0.029481426        1.067        105.4
524288              5      0.061543709      0.065620400      0.065922344      0.002575709      0.068711959        1.116        117.4
1048576             5      0.165505010      0.173931259      0.174678434      0.006017361      0.181879850        1.099        157.8
