#RSS was 226,275,328 now 216,199,168 diff: -10,076,160
#test_new_set_bytes() Byte length 16
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
#Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000656      0.000002495      0.000000718      0.000003923      0.000009510       14.497        328.0
4                   5      0.000001280      0.000001721      0.000001388      0.000000674      0.000002879        2.249        320.0
8                   5      0.000002356      0.000002891      0.000002532      0.000000724      0.000004072        1.728        294.5
16                  5      0.000004394      0.000006046      0.000004655      0.000003086      0.000011545        2.627        274.6
32                  5      0.000008333      0.000010206      0.000008780      0.000003158      0.000015759        1.891        260.4
64                  5      0.000015757      0.000019254      0.000016734      0.000005700      0.000029277        1.858        246.2
128                 5      0.000030788      0.000034424      0.000032034      0.000005543      0.000044064        1.431        240.5
256                 5      0.000061660      0.000067708      0.000063533      0.000010040      0.000085457        1.386        240.9
512                 5      0.000129082      0.000136413      0.000131317      0.000012577      0.000158743        1.230        252.1
1024                5      0.000246809      0.000252933      0.000248386      0.000011032      0.000272587        1.104        241.0
2048                5      0.000521355      0.000534251      0.000522731      0.000025843      0.000580425        1.113        254.6
4096                5      0.001025299      0.001054064      0.001026628      0.000044122      0.001127020        1.099        250.3
8192                5      0.002206995      0.002269069      0.002219614      0.000085770      0.002410348        1.092        269.4
16384               5      0.004415170      0.004625017      0.004449417      0.000260090      0.004965952        1.125        269.5
32768               5      0.010864760      0.011175560      0.011160087      0.000288372      0.011600970        1.068        331.6
65536               5      0.025470520      0.026291614      0.026546893      0.000714883      0.026976389        1.059        388.6
131072              5      0.069058521      0.074446969      0.075133596      0.003315888      0.077801453        1.127        526.9
262144              5      0.206709456      0.213027304      0.214290969      0.003706892      0.216389728        1.047        788.5
524288              5      0.548881808      0.559560377      0.552251080      0.017986932      0.591406178        1.077       1046.9
1048576             5      1.066700211      1.082862996      1.089983136      0.011668742      1.092036038        1.024       1017.3
