#tests/unit/test_perf_cPyCppContainers.py::test_new_set_bytes
#RSS was 220,413,952 now 226,275,328 diff: 5,861,376
#test_new_set_bytes() Byte length 2
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
#Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000726      0.000002812      0.000000874      0.000004399      0.000010678       14.708        363.0
4                   5      0.000001369      0.000001826      0.000001545      0.000000655      0.000002970        2.169        342.2
8                   5      0.000002324      0.000002807      0.000002489      0.000000668      0.000003905        1.680        290.5
16                  5      0.000004223      0.000005979      0.000004625      0.000003118      0.000011506        2.725        263.9
32                  5      0.000008023      0.000010757      0.000008614      0.000004800      0.000019253        2.400        250.7
64                  5      0.000015179      0.000018473      0.000016152      0.000005266      0.000027721        1.826        237.2
128                 5      0.000030039      0.000033385      0.000031454      0.000004472      0.000040981        1.364        234.7
256                 5      0.000061367      0.000079877      0.000065645      0.000029876      0.000132397        2.157        239.7
512                 5      0.000128326      0.000134157      0.000130263      0.000009978      0.000151851        1.183        250.6
1024                5      0.000240761      0.000249380      0.000243909      0.000009811      0.000263162        1.093        235.1
2048                5      0.000522801      0.000548853      0.000524471      0.000052703      0.000642953        1.230        255.3
4096                5      0.000978438      0.001007009      0.000982186      0.000049970      0.001095293        1.119        238.9
8192                5      0.001922940      0.002087686      0.001957725      0.000216132      0.002396218        1.246        234.7
16384               5      0.003848585      0.004183206      0.003947298      0.000462620      0.004943319        1.284        234.9
32768               5      0.006832068      0.007278617      0.006879528      0.000786787      0.008663151        1.268        208.5
65536               5      0.011701079      0.012767795      0.013088588      0.000817684      0.013669020        1.168        178.5
131072              5      0.015793421      0.017085166      0.017569717      0.000976423      0.017933450        1.136        120.5
262144              5      0.021070047      0.022095623      0.021814258      0.001110836      0.023945752        1.136         80.4
524288              5      0.023263660      0.023510607      0.023486937      0.000177033      0.023698835        1.019         44.4
1048576             5      0.022095874      0.023446319      0.023602513      0.000793811      0.024049557        1.088         21.1
