# RSS was 2,186,633,216 now 3,456,921,600 diff: +1,270,288,384
# test_new_set_bytes() Byte length 1024
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000002792      0.000004458      0.000002875      0.000003450      0.000010625        3.806       1396.0
4                   5      0.000005541      0.000005883      0.000005833      0.000000443      0.000006625        1.196       1385.2
8                   5      0.000010042      0.000010517      0.000010125      0.000000857      0.000012041        1.199       1255.2
16                  5      0.000017750      0.000018367      0.000017917      0.000000875      0.000019875        1.120       1109.4
32                  5      0.000034375      0.000035775      0.000034875      0.000002140      0.000039542        1.150       1074.2
64                  5      0.000068250      0.000069625      0.000068917      0.000001823      0.000072666        1.065       1066.4
128                 5      0.000135625      0.000138017      0.000136834      0.000002858      0.000142625        1.052       1059.6
256                 5      0.000267292      0.000269925      0.000269125      0.000002689      0.000274292        1.026       1044.1
512                 5      0.000543916      0.000563733      0.000547291      0.000037917      0.000631416        1.161       1062.3
1024                5      0.001080792      0.001117258      0.001087083      0.000072160      0.001246209        1.153       1055.5
2048                5      0.002242166      0.002374225      0.002250250      0.000281245      0.002877250        1.283       1094.8
4096                5      0.005402875      0.005613075      0.005629750      0.000124174      0.005721667        1.059       1319.1
8192                5      0.013576542      0.014125100      0.014251250      0.000314651      0.014344792        1.057       1657.3
16384               5      0.027406584      0.028189658      0.028150416      0.000708329      0.029079833        1.061       1672.8
32768               5      0.076067792      0.080889684      0.081465917      0.003195787      0.084246250        1.108       2321.4
65536               5      0.151715000      0.161251258      0.158633000      0.010506257      0.177423541        1.169       2315.0
131072              5      0.323478167      0.341883658      0.343961333      0.014166932      0.357351833        1.105       2467.9
262144              5      0.691541666      0.704717767      0.692970959      0.026859710      0.752710125        1.088       2638.0
524288              5      1.470674875      1.517943967      1.508535792      0.038053044      1.573514625        1.070       2805.1
1048576             5      3.186809375      3.511511058      3.383422208      0.365039769      4.004722208        1.257       3039.2
