# RSS was 1,647,177,728 now 1,969,192,960 diff: +322,015,232
# test_new_set_bytes() Byte length 128
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000001083      0.000002625      0.000001084      0.000003355      0.000008625        7.964        541.5
4                   5      0.000001750      0.000001975      0.000001792      0.000000393      0.000002667        1.524        437.5
8                   5      0.000003458      0.000003892      0.000003666      0.000000613      0.000004959        1.434        432.3
16                  5      0.000005958      0.000006283      0.000006125      0.000000505      0.000007166        1.203        372.4
32                  5      0.000011833      0.000013941      0.000012125      0.000004115      0.000021291        1.799        369.8
64                  5      0.000022541      0.000023758      0.000023000      0.000001625      0.000026459        1.174        352.2
128                 5      0.000050167      0.000052692      0.000051750      0.000003659      0.000059041        1.177        391.9
256                 5      0.000099417      0.000101575      0.000100833      0.000002142      0.000103917        1.045        388.3
512                 5      0.000187667      0.000195167      0.000189167      0.000012133      0.000216250        1.152        366.5
1024                5      0.000367000      0.000370025      0.000368958      0.000003446      0.000375833        1.024        358.4
2048                5      0.000749000      0.000755941      0.000752041      0.000008037      0.000768083        1.025        365.7
4096                5      0.001498833      0.001518117      0.001507250      0.000028340      0.001567542        1.046        365.9
8192                5      0.003078458      0.003135892      0.003111042      0.000077686      0.003272000        1.063        375.8
16384               5      0.006116667      0.006236992      0.006217375      0.000152597      0.006489959        1.061        373.3
32768               5      0.014011334      0.015288617      0.015563833      0.000719486      0.015759416        1.125        427.6
65536               5      0.034599750      0.036699942      0.036429791      0.001828695      0.039639750        1.146        528.0
131072              5      0.093570500      0.093982641      0.094006333      0.000429335      0.094586583        1.011        713.9
262144              5      0.207867834      0.211513709      0.208944375      0.004331834      0.218079334        1.049        793.0
524288              5      0.473373833      0.476789142      0.475654916      0.003966577      0.483659792        1.022        902.9
1048576             5      1.049232292      1.067779600      1.057021125      0.020474629      1.097934250        1.046       1000.6
