# test_new_set_complex()
# RSS was 1,978,908,672 now 2,053,996,544 diff: +75,087,872
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000875      0.000003183      0.000000958      0.000004907      0.000011959       13.668        437.5
4                   5      0.000001209      0.000001617      0.000001375      0.000000638      0.000002750        2.275        302.2
8                   5      0.000002000      0.000002242      0.000002167      0.000000273      0.000002709        1.354        250.0
16                  5      0.000003417      0.000003725      0.000003500      0.000000533      0.000004667        1.366        213.6
32                  5      0.000006041      0.000006816      0.000006333      0.000001304      0.000009125        1.511        188.8
64                  5      0.000011333      0.000012075      0.000011459      0.000001194      0.000014167        1.250        177.1
128                 5      0.000021459      0.000022142      0.000021625      0.000001067      0.000024000        1.118        167.6
256                 5      0.000041209      0.000042258      0.000041500      0.000001543      0.000044916        1.090        161.0
512                 5      0.000078625      0.000080550      0.000079333      0.000002432      0.000084542        1.075        153.6
1024                5      0.000174166      0.000178825      0.000175584      0.000006157      0.000188583        1.083        170.1
2048                5      0.000372750      0.000381117      0.000383333      0.000007698      0.000389750        1.046        182.0
4096                5      0.000734625      0.000743742      0.000743083      0.000009260      0.000757625        1.031        179.4
8192                5      0.001466542      0.001472450      0.001471625      0.000006052      0.001482209        1.011        179.0
16384               5      0.002838083      0.002857833      0.002859833      0.000020144      0.002889125        1.018        173.2
32768               5      0.005929542      0.005945033      0.005937625      0.000021531      0.005982875        1.009        181.0
65536               5      0.011587208      0.011636192      0.011640916      0.000030598      0.011664875        1.007        176.8
131072              5      0.028525625      0.029755942      0.029518959      0.001067544      0.031351917        1.099        217.6
262144              5      0.069409583      0.072253450      0.073683750      0.002125219      0.073946083        1.065        264.8
524288              5      0.190738083      0.202406142      0.196079208      0.013728400      0.224196209        1.175        363.8
1048576             5      0.423310791      0.438097541      0.437326541      0.013466716      0.454780750        1.074        403.7
