# test_new_set_float()
# RSS was 1,928,867,840 now 2,011,938,816 diff: +83,070,976
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000834      0.000003000      0.000000917      0.000004479      0.000011000       13.190        417.0
4                   5      0.000001166      0.000001542      0.000001209      0.000000704      0.000002791        2.394        291.5
8                   5      0.000001958      0.000002192      0.000002000      0.000000374      0.000002834        1.447        244.7
16                  5      0.000003084      0.000003292      0.000003209      0.000000287      0.000003791        1.229        192.7
32                  5      0.000005666      0.000006316      0.000005833      0.000001110      0.000008291        1.463        177.1
64                  5      0.000010083      0.000010550      0.000010083      0.000000911      0.000012167        1.207        157.5
128                 5      0.000020625      0.000031400      0.000023084      0.000020209      0.000067417        3.269        161.1
256                 5      0.000041625      0.000042100      0.000042083      0.000000329      0.000042500        1.021        162.6
512                 5      0.000089625      0.000091217      0.000090083      0.000002581      0.000095750        1.068        175.0
1024                5      0.000184500      0.000186092      0.000185000      0.000002703      0.000190875        1.035        180.2
2048                5      0.000382125      0.000384125      0.000382667      0.000002468      0.000387875        1.015        186.6
4096                5      0.000709916      0.000746192      0.000754375      0.000020371      0.000758417        1.068        173.3
8192                5      0.001493708      0.001535733      0.001545667      0.000023564      0.001549167        1.037        182.3
16384               5      0.002861834      0.003018800      0.003059833      0.000087838      0.003060708        1.069        174.7
32768               5      0.006233083      0.006240858      0.006240875      0.000005992      0.006248834        1.003        190.2
65536               5      0.011361541      0.012090258      0.012298250      0.000418606      0.012353250        1.087        173.4
131072              5      0.023159333      0.023318325      0.023320833      0.000110784      0.023448375        1.012        176.7
262144              5      0.044594833      0.046277800      0.045373792      0.002669303      0.051017833        1.144        170.1
524288              5      0.101639916      0.107252350      0.107609875      0.003799037      0.111933959        1.101        193.9
1048576             5      0.213647834      0.223322592      0.222137834      0.009804127      0.237850333        1.113        203.8
