# test_new_set_int()
# RSS was 862,216,192 now 1,228,492,800 diff: +366,276,608
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000583      0.000006741      0.000000625      0.000013423      0.000030750       52.745        291.5
4                   5      0.000000792      0.000001775      0.000000833      0.000002106      0.000005542        6.997        198.0
8                   5      0.000001250      0.000001367      0.000001292      0.000000160      0.000001625        1.300        156.3
16                  5      0.000001958      0.000002683      0.000001959      0.000001575      0.000005500        2.809        122.4
32                  5      0.000003375      0.000004192      0.000003459      0.000001595      0.000007041        2.086        105.5
64                  5      0.000006000      0.000006116      0.000006041      0.000000160      0.000006375        1.062         93.8
128                 5      0.000011375      0.000011517      0.000011458      0.000000190      0.000011833        1.040         88.9
256                 5      0.000020958      0.000021208      0.000021042      0.000000381      0.000021875        1.044         81.9
512                 5      0.000045750      0.000046942      0.000045958      0.000002209      0.000050875        1.112         89.4
1024                5      0.000097167      0.000099025      0.000099125      0.000001708      0.000101333        1.043         94.9
2048                5      0.000204834      0.000207283      0.000206750      0.000002192      0.000209750        1.024        100.0
4096                5      0.000407750      0.000412183      0.000412958      0.000003663      0.000417375        1.024         99.5
8192                5      0.000834959      0.000844050      0.000845083      0.000005592      0.000850166        1.018        101.9
16384               5      0.001521958      0.001529175      0.001531584      0.000005945      0.001535208        1.009         92.9
32768               5      0.003116292      0.003124725      0.003123292      0.000009772      0.003140583        1.008         95.1
65536               5      0.006103792      0.006171900      0.006163333      0.000081502      0.006309750        1.034         93.1
131072              5      0.012698084      0.012944108      0.012885041      0.000348297      0.013545042        1.067         96.9
262144              5      0.025920000      0.028598316      0.026623208      0.003745944      0.034746541        1.341         98.9
524288              5      0.058205375      0.059512733      0.059074084      0.001836444      0.062674375        1.077        111.0
1048576             5      0.121777166      0.125032267      0.124913375      0.003234790      0.130180417        1.069        116.1
