#RSS was 231,170,048 now 2,357,805,056 diff: 2,126,635,008
#test_new_set_str() String length 1024
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
#Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000003735      0.000005896      0.000003857      0.000004353      0.000013665        3.659       1867.5
4                   5      0.000007272      0.000007927      0.000007658      0.000000737      0.000009109        1.253       1818.0
8                   5      0.000014212      0.000015141      0.000014459      0.000001347      0.000017376        1.223       1776.5
16                  5      0.000028306      0.000029675      0.000029028      0.000001726      0.000032434        1.146       1769.1
32                  5      0.000056184      0.000058520      0.000057041      0.000003273      0.000064081        1.141       1755.8
64                  5      0.000110894      0.000114848      0.000112577      0.000005406      0.000124163        1.120       1732.7
128                 5      0.000218406      0.000245445      0.000224022      0.000045058      0.000324654        1.486       1706.3
256                 5      0.000405880      0.000437809      0.000409257      0.000056226      0.000536707        1.322       1585.5
512                 5      0.000705891      0.000760326      0.000742471      0.000058695      0.000857518        1.215       1378.7
1024                5      0.001329486      0.001495894      0.001399943      0.000183992      0.001762052        1.325       1298.3
2048                5      0.003687750      0.003857932      0.003812309      0.000162944      0.004039130        1.095       1800.7
4096                5      0.007780838      0.008725221      0.008644713      0.000877733      0.009662817        1.242       1899.6
8192                5      0.019362078      0.020317794      0.020176518      0.000730344      0.021347120        1.103       2363.5
16384               5      0.039471348      0.042960624      0.043029882      0.002467819      0.045543631        1.154       2409.1
32768               5      0.108433084      0.109648787      0.108822026      0.001864503      0.112900592        1.041       3309.1
65536               5      0.280102541      0.284015938      0.281573128      0.005136464      0.292758679        1.045       4274.0
131072              5      0.591515506      0.610880366      0.610511412      0.013807491      0.625643803        1.058       4512.9
262144              5      1.261698273      1.292739449      1.293262601      0.028781571      1.337514896        1.060       4813.0
524288              5      2.704324201      2.758015155      2.735192463      0.074192195      2.885479827        1.067       5158.1
1048576             5      5.618531136      5.692541621      5.635377147      0.128062174      5.920071939        1.054       5358.2
