#RSS was 360,386,560 now 351,473,664 diff: -8,912,896
#test_new_set_str() String length 16
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
#Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000513      0.000001101      0.000000534      0.000001129      0.000003107        6.057        256.5
4                   5      0.000000511      0.000000543      0.000000515      0.000000065      0.000000660        1.292        127.7
8                   5      0.000000514      0.000000545      0.000000530      0.000000047      0.000000628        1.222         64.2
16                  5      0.000000513      0.000000542      0.000000521      0.000000050      0.000000630        1.228         32.1
32                  5      0.000000512      0.000000545      0.000000518      0.000000060      0.000000651        1.271         16.0
64                  5      0.000000514      0.000000562      0.000000518      0.000000096      0.000000733        1.426          8.0
128                 5      0.000000722      0.000000890      0.000000762      0.000000230      0.000001249        1.730          5.6
256                 5      0.000000506      0.000000589      0.000000537      0.000000136      0.000000832        1.644          2.0
512                 5      0.000002749      0.000003348      0.000002984      0.000000796      0.000004631        1.685          5.4
1024                5      0.000005253      0.000005848      0.000005440      0.000000823      0.000007241        1.378          5.1
2048                5      0.000008780      0.000010255      0.000009288      0.000002180      0.000014018        1.597          4.3
4096                5      0.000019837      0.000023672      0.000021012      0.000006135      0.000034430        1.736          4.8
8192                5      0.000037967      0.000043280      0.000039769      0.000008309      0.000057870        1.524          4.6
16384               5      0.000072937      0.000091348      0.000086144      0.000022889      0.000129678        1.778          4.5
32768               5      0.000212732      0.000228518      0.000219574      0.000017101      0.000254728        1.197          6.5
65536               5      0.000318948      0.000441312      0.000379804      0.000161962      0.000708691        2.222          4.9
131072              5      0.000546320      0.000573428      0.000546790      0.000037004      0.000618791        1.133          4.2
262144              5      0.001111726      0.001305890      0.001115802      0.000363984      0.001949578        1.754          4.2
524288              5      0.002278686      0.002450632      0.002315099      0.000261361      0.002891796        1.269          4.3
1048576             5      0.004788744      0.005310093      0.005083710      0.000468801      0.005825094        1.216          4.6
