#tests/unit/test_perf_cPyCppContainers.py::test_new_set_str
#RSS was 360,251,392 now 360,386,560 diff: 135,168
#test_new_set_str() String length 2
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
#Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000651      0.000101504      0.000000728      0.000224455      0.000503019      772.687        325.5
4                   5      0.000000627      0.000000712      0.000000638      0.000000154      0.000000984        1.569        156.7
8                   5      0.000000611      0.000000644      0.000000617      0.000000056      0.000000742        1.214         76.4
16                  5      0.000000619      0.000000644      0.000000628      0.000000042      0.000000718        1.160         38.7
32                  5      0.000000630      0.000000665      0.000000647      0.000000040      0.000000728        1.156         19.7
64                  5      0.000000849      0.000001055      0.000000854      0.000000363      0.000001688        1.988         13.3
128                 5      0.000000629      0.000000726      0.000000660      0.000000127      0.000000938        1.491          4.9
256                 5      0.000000629      0.000000790      0.000000644      0.000000277      0.000001274        2.025          2.5
512                 5      0.000001312      0.000001733      0.000001438      0.000000658      0.000002878        2.194          2.6
1024                5      0.000001851      0.000002361      0.000002148      0.000000602      0.000003385        1.829          1.8
2048                5      0.000001690      0.000001881      0.000001790      0.000000266      0.000002336        1.382          0.8
4096                5      0.000003895      0.000004951      0.000004082      0.000001792      0.000008113        2.083          1.0
8192                5      0.000006053      0.000009652      0.000006785      0.000006707      0.000021603        3.569          0.7
16384               5      0.000007584      0.000010309      0.000008587      0.000004461      0.000018202        2.400          0.5
32768               5      0.000016505      0.000019746      0.000017259      0.000005460      0.000029366        1.779          0.5
65536               5      0.000035380      0.000041089      0.000037217      0.000009185      0.000057275        1.619          0.5
131072              5      0.000061232      0.000066956      0.000063130      0.000009581      0.000083878        1.370          0.5
262144              5      0.000144343      0.000149883      0.000145483      0.000010054      0.000167759        1.162          0.6
524288              5      0.000243938      0.000278325      0.000278894      0.000034729      0.000329308        1.350          0.5
1048576             5      0.000520478      0.000543862      0.000521946      0.000048271      0.000630149        1.211          0.5
