# RSS was 855,023,616 now 1,250,111,488 diff: +395,087,872
# test_new_set_str() String length 128
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000001083      0.000006850      0.000001125      0.000012709      0.000029583       27.315        541.5
4                   5      0.000001875      0.000002192      0.000001917      0.000000551      0.000003167        1.689        468.8
8                   5      0.000003625      0.000004025      0.000003708      0.000000695      0.000005250        1.448        453.1
16                  5      0.000006542      0.000006909      0.000006625      0.000000598      0.000007959        1.217        408.9
32                  5      0.000012708      0.000013883      0.000012958      0.000002037      0.000017500        1.377        397.1
64                  5      0.000024500      0.000025541      0.000024917      0.000001451      0.000028041        1.145        382.8
128                 5      0.000053750      0.000055700      0.000054500      0.000002506      0.000059875        1.114        419.9
256                 5      0.000106083      0.000108092      0.000107625      0.000001935      0.000111000        1.046        414.4
512                 5      0.000218625      0.000223200      0.000221375      0.000004471      0.000229833        1.051        427.0
1024                5      0.000408833      0.000437067      0.000441417      0.000018014      0.000454333        1.111        399.3
2048                5      0.000841542      0.000844833      0.000842208      0.000006169      0.000855834        1.017        410.9
4096                5      0.001672125      0.001682625      0.001683041      0.000008319      0.001692958        1.012        408.2
8192                5      0.003420875      0.003462575      0.003460500      0.000043632      0.003533291        1.033        417.6
16384               5      0.006976125      0.007057450      0.006997959      0.000136717      0.007299917        1.046        425.8
32768               5      0.016764750      0.016934092      0.016839166      0.000191294      0.017237750        1.028        511.6
65536               5      0.038175208      0.040626416      0.040929625      0.001486326      0.042232291        1.106        582.5
131072              5      0.102345458      0.105381758      0.105193083      0.002241914      0.108519083        1.060        780.8
262144              5      0.236932959      0.239367467      0.238184167      0.003632614      0.245759458        1.037        903.8
524288              5      0.527871625      0.536701067      0.533439084      0.009827259      0.553131083        1.048       1006.8
1048576             5      1.167771000      1.170165892      1.169990667      0.001906791      1.172436417        1.004       1113.7
