# RSS was 344,293,376 now 617,119,744 diff: +272,826,368
# test_new_set_str() String length 16
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000792      0.000004342      0.000000833      0.000007661      0.000018042       22.780        396.0
4                   5      0.000001125      0.000001408      0.000001125      0.000000525      0.000002333        2.074        281.2
8                   5      0.000002000      0.000002300      0.000002084      0.000000471      0.000003125        1.562        250.0
16                  5      0.000003417      0.000004450      0.000003458      0.000002040      0.000008083        2.366        213.6
32                  5      0.000006584      0.000007667      0.000006834      0.000001881      0.000011000        1.671        205.7
64                  5      0.000012416      0.000013200      0.000012917      0.000000903      0.000014709        1.185        194.0
128                 5      0.000024583      0.000026233      0.000025375      0.000001890      0.000029250        1.190        192.1
256                 5      0.000049000      0.000052433      0.000051041      0.000004081      0.000058833        1.201        191.4
512                 5      0.000101500      0.000108508      0.000103917      0.000011206      0.000128250        1.264        198.2
1024                5      0.000200167      0.000210575      0.000203166      0.000017052      0.000240708        1.203        195.5
2048                5      0.000417542      0.000436217      0.000423375      0.000033366      0.000495708        1.187        203.9
4096                5      0.000837417      0.000859542      0.000840500      0.000045126      0.000940209        1.123        204.4
8192                5      0.001770625      0.001837408      0.001784208      0.000124138      0.002058625        1.163        216.1
16384               5      0.003511334      0.003621867      0.003532084      0.000201784      0.003980917        1.134        214.3
32768               5      0.007378917      0.007611142      0.007389708      0.000455009      0.008421333        1.141        225.2
65536               5      0.014961083      0.015307567      0.015140042      0.000473464      0.016141125        1.079        228.3
131072              5      0.036611417      0.037196467      0.037221542      0.000591749      0.037995459        1.038        279.3
262144              5      0.103629125      0.105176634      0.104231667      0.002278266      0.109182250        1.054        395.3
524288              5      0.279313500      0.284537434      0.285210084      0.004204295      0.290231625        1.039        532.7
1048576             5      0.691659042      0.698541350      0.696133750      0.006245081      0.705439416        1.020        659.6
