# test_new_str16()
# RSS was 72,351,744 now 76,554,240 diff: +4,202,496
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000209      0.000000400      0.000000250      0.000000285      0.000000875        4.187        104.5
4                   5      0.000000166      0.000000200      0.000000208      0.000000035      0.000000250        1.506         41.5
8                   5      0.000000166      0.000000175      0.000000167      0.000000019      0.000000208        1.253         20.7
16                  5      0.000000250      0.000000308      0.000000250      0.000000131      0.000000542        2.168         15.6
32                  5      0.000000208      0.000000267      0.000000250      0.000000063      0.000000375        1.802          6.5
64                  5      0.000000250      0.000000283      0.000000250      0.000000075      0.000000417        1.668          3.9
128                 5      0.000000291      0.000000392      0.000000292      0.000000224      0.000000792        2.722          2.3
256                 5      0.000000417      0.000000533      0.000000458      0.000000215      0.000000916        2.197          1.6
512                 5      0.000000375      0.000000450      0.000000417      0.000000080      0.000000583        1.555          0.7
1024                5      0.000000417      0.000000467      0.000000458      0.000000068      0.000000583        1.398          0.4
2048                5      0.000000500      0.000000525      0.000000500      0.000000056      0.000000625        1.250          0.2
4096                5      0.000000666      0.000000708      0.000000708      0.000000051      0.000000791        1.188          0.2
8192                5      0.000001000      0.000001050      0.000001000      0.000000090      0.000001208        1.208          0.1
16384               5      0.000001708      0.000002116      0.000001792      0.000000686      0.000003333        1.951          0.1
32768               5      0.000004375      0.000004466      0.000004458      0.000000074      0.000004541        1.038          0.1
65536               5      0.000008375      0.000008892      0.000008458      0.000000892      0.000010458        1.249          0.1
131072              5      0.000016291      0.000016492      0.000016292      0.000000311      0.000017000        1.044          0.1
262144              5      0.000032208      0.000039742      0.000032292      0.000016613      0.000069458        2.157          0.1
524288              5      0.000063666      0.000092300      0.000063958      0.000063005      0.000205000        3.220          0.1
1048576             5      0.000128417      0.000247617      0.000131250      0.000209388      0.000612875        4.773          0.1
