# test_new_str32()
# RSS was 54,837,248 now 56,938,496 diff: +2,101,248
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
2                   5      0.000000167      0.000000408      0.000000250      0.000000336      0.000000958        5.737         83.5
4                   5      0.000000167      0.000000184      0.000000167      0.000000037      0.000000250        1.497         41.7
8                   5      0.000000166      0.000000175      0.000000167      0.000000018      0.000000208        1.253         20.8
16                  5      0.000000208      0.000000292      0.000000250      0.000000142      0.000000542        2.606         13.0
32                  5      0.000000209      0.000000242      0.000000250      0.000000035      0.000000292        1.397          6.5
64                  5      0.000000208      0.000000242      0.000000250      0.000000035      0.000000292        1.404          3.3
128                 5      0.000000291      0.000000392      0.000000292      0.000000224      0.000000792        2.722          2.3
256                 5      0.000000416      0.000000483      0.000000417      0.000000149      0.000000750        1.803          1.6
512                 5      0.000000333      0.000000383      0.000000334      0.000000090      0.000000542        1.628          0.7
1024                5      0.000000333      0.000000400      0.000000375      0.000000063      0.000000500        1.501          0.3
2048                5      0.000000458      0.000000500      0.000000500      0.000000030      0.000000542        1.183          0.2
4096                5      0.000000625      0.000000683      0.000000666      0.000000087      0.000000834        1.334          0.2
8192                5      0.000000958      0.000001033      0.000001000      0.000000104      0.000001208        1.261          0.1
16384               5      0.000001708      0.000002067      0.000001750      0.000000644      0.000003209        1.879          0.1
32768               5      0.000004333      0.000004408      0.000004375      0.000000090      0.000004541        1.048          0.1
65536               5      0.000008167      0.000008417      0.000008208      0.000000340      0.000008917        1.092          0.1
131072              5      0.000016000      0.000016350      0.000016125      0.000000443      0.000017042        1.065          0.1
262144              5      0.000032083      0.000032308      0.000032292      0.000000240      0.000032708        1.019          0.1
524288              5      0.000063833      0.000064350      0.000064000      0.000000760      0.000065666        1.029          0.1
1048576             5      0.000129458      0.000210150      0.000129541      0.000179084      0.000530500        4.098          0.1
