/Users/engun/CLionProjects/PythonCppHomogeneousContainers/cmake-build-release/PythonCppHomogeneousContainers
Hello, World!
RSS(Mb): was:      5.449 now:      5.461 diff:     +0.012 Peak was:      5.449 now:      5.461 diff:     +0.012 test_vector_to_py_tuple<bool>
RSS(Mb): was:      5.461 now:      5.465 diff:     +0.004 Peak was:      5.461 now:      5.465 diff:     +0.004 test_vector_to_py_tuple<long>
RSS(Mb): was:      5.465 now:      5.465 diff:     +0.000 Peak was:      5.465 now:      5.465 diff:     +0.000 test_vector_to_py_tuple<double>
RSS(Mb): was:      5.465 now:      5.469 diff:     +0.004 Peak was:      5.465 now:      5.469 diff:     +0.004 test_py_tuple_to_vector<bool>
RSS(Mb): was:      5.469 now:      5.469 diff:     +0.000 Peak was:      5.469 now:      5.469 diff:     +0.000 test_py_tuple_to_vector<long>
RSS(Mb): was:      5.469 now:      5.469 diff:     +0.000 Peak was:      5.469 now:      5.469 diff:     +0.000 test_py_tuple_to_vector<double>
RSS(Mb): was:      5.469 now:      5.469 diff:     +0.000 Peak was:      5.469 now:      5.469 diff:     +0.000 test_vector_to_py_tuple_round_trip<bool>
RSS(Mb): was:      5.469 now:      5.484 diff:     +0.016 Peak was:      5.469 now:      5.484 diff:     +0.016 test_vector_to_py_tuple_round_trip<long>
RSS(Mb): was:      5.484 now:      5.484 diff:     +0.000 Peak was:      5.484 now:      5.484 diff:     +0.000 test_vector_to_py_tuple_round_trip<double>
RSS(Mb): was:      5.488 now:      5.488 diff:     +0.000 Peak was:      5.488 now:      5.488 diff:     +0.000 test_py_tuple_to_vector_round_trip<bool>
RSS(Mb): was:      5.488 now:      5.508 diff:     +0.020 Peak was:      5.488 now:      5.508 diff:     +0.020 test_py_tuple_to_vector_round_trip<long>
RSS(Mb): was:      5.508 now:      5.523 diff:     +0.016 Peak was:      5.508 now:      5.523 diff:     +0.016 test_py_tuple_to_vector_round_trip<double>
RSS(Mb): was:      5.523 now:      5.633 diff:     +0.109 Peak was:      5.523 now:      5.633 diff:     +0.109 test_vector_string_to_py_tuple
RSS(Mb): was:      5.633 now:      5.637 diff:     +0.004 Peak was:      5.633 now:      5.637 diff:     +0.004 test_py_tuple_string_to_vector
RSS(Mb): was:      5.637 now:      5.672 diff:     +0.035 Peak was:      5.637 now:      5.672 diff:     +0.035 test_unordered_set_to_py_set<long>
RSS(Mb): was:      5.672 now:      5.676 diff:     +0.004 Peak was:      5.672 now:      5.676 diff:     +0.004 test_py_set_to_unordered_set<long>
RSS(Mb): was:      5.676 now:      5.684 diff:     +0.008 Peak was:      5.676 now:      5.684 diff:     +0.008 test_cpp_std_unordered_map_to_py_dict<double, double>
RSS(Mb): was:      5.684 now:      5.684 diff:     +0.000 Peak was:      5.684 now:      5.684 diff:     +0.000 test_py_dict_to_cpp_std_unordered_map<double, double>
====RSS(Mb): was:      5.367 now:      5.684 diff:     +0.316 Peak was:      5.367 now:      5.684 diff:     +0.316 ==== test_functional.cpp
RSS(Mb): was:      5.688 now:     10.949 diff:     +5.262 Peak was:      5.688 now:     10.949 diff:     +5.262 test_perf_vector_to_py_tuple<bool>
RSS(Mb): was:     10.949 now:     17.430 diff:     +6.480 Peak was:     10.953 now:     34.625 diff:    +23.672 test_perf_vector_to_py_tuple<long>
RSS(Mb): was:     17.430 now:     17.676 diff:     +0.246 Peak was:     34.625 now:     34.625 diff:     +0.000 test_perf_vector_to_py_tuple<double>
RSS(Mb): was:     17.676 now:     18.250 diff:     +0.574 Peak was:     34.625 now:     34.625 diff:     +0.000 test_perf_py_tuple_to_vector<bool>
RSS(Mb): was:     18.250 now:     13.941 diff:     -4.309 Peak was:     34.625 now:     34.625 diff:     +0.000 test_perf_py_tuple_to_vector<long>
RSS(Mb): was:     13.941 now:     13.949 diff:     +0.008 Peak was:     34.625 now:     34.625 diff:     +0.000 test_perf_py_tuple_to_vector<double>
RSS(Mb): was:     13.949 now:    186.395 diff:   +172.445 Peak was:     34.625 now:   2634.395 diff:  +2599.770 test_perf_vector_string_to_py_tuple
RSS(Mb): was:    186.395 now:    169.137 diff:    -17.258 Peak was:   2634.395 now:   2634.395 diff:     +0.000 test_perf_py_tuple_string_to_vector
RSS(Mb): was:    169.137 now:    162.918 diff:     -6.219 Peak was:   2634.395 now:   2634.395 diff:     +0.000 test_perf_cpp_std_unordered_map_to_py_dict<double>
RSS(Mb): was:    162.918 now:     59.105 diff:   -103.812 Peak was:   2634.395 now:   2634.395 diff:     +0.000 test_perf_py_dict_to_cpp_std_unordered_map<double>
RSS(Mb): was:     59.105 now:    192.797 diff:   +133.691 Peak was:   2634.395 now:   5231.465 diff:  +2597.070 test_cpp_std_unordered_map_to_py_dict_string
RSS(Mb): was:    192.797 now:    214.270 diff:    +21.473 Peak was:   5231.465 now:   5231.465 diff:     +0.000 test_perf_vector_string_to_py_tuple_multiple
====RSS(Mb): was:      5.688 now:    214.270 diff:   +208.582 Peak was:      5.688 now:   5231.465 diff:  +5225.777 ==== test_performance.cpp
RSS(Mb): was:    214.270 now:    204.078 diff:    -10.191 Peak was:   5231.465 now:   5231.465 diff:     +0.000 test_memory_py_tuple
RSS(Mb): was:    204.078 now:    223.965 diff:    +19.887 Peak was:   5231.465 now:   5231.465 diff:     +0.000 test_memory_py_dict
RSS(Mb): was:    223.965 now:    180.730 diff:    -43.234 Peak was:   5231.465 now:   5231.465 diff:     +0.000 test_memory_vector_string_to_py_tuple(1024, 2048, 512, 1<<16)
====RSS(Mb): was:    214.270 now:    180.730 diff:    -33.539 Peak was:   5231.465 now:   5231.465 diff:     +0.000 ==== test_memory.cpp
Number of tests: 372
REGEX_HEAD: "HEAD:\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)"
REGEX_TEST: "TEST:\s+(\d+)\s+(\d+)\s+([0-9+-.]+)\s+([0-9+-.]+)\s+(\d+)\s+([0-9+-.]+)\s+(\S+)"
REGEX_TAIL: "TAIL:\s+(.+)"
HEAD: Fail   Scale  Repeat         Time(s)     Std.Dev.(s)         Min.(s)         Max.(s)     Count      Rate(/s) Name
TEST:    0    1024       1     0.000003749             N/A             N/A             N/A         1      266702.2 test_vector_to_py_tuple<bool>
TEST:    0    1024       1     0.000011252             N/A             N/A             N/A         1       88869.1 test_vector_to_py_tuple<long>
TEST:    0    1024       1     0.000010689             N/A             N/A             N/A         1       93549.7 test_vector_to_py_tuple<double>
TEST:    0    1024       1     0.000006877             N/A             N/A             N/A         1      145422.8 test_py_tuple_to_vector<bool>
TEST:    0    1024       1     0.000011025             N/A             N/A             N/A         1       90698.8 test_py_tuple_to_vector<long>
TEST:    0    1024       1     0.000009352             N/A             N/A             N/A         1      106934.7 test_py_tuple_to_vector<double>
TEST:    0    1024       1     0.000010056             N/A             N/A             N/A         1       99448.1 test_vector_to_py_tuple_round_trip<bool>
TEST:    0    1024       1     0.000027367             N/A             N/A             N/A         1       36539.7 test_vector_to_py_tuple_round_trip<long>
TEST:    0    1024       1     0.000020190             N/A             N/A             N/A         1       49530.7 test_vector_to_py_tuple_round_trip<double>
TEST:    0    1024       1     0.000009836             N/A             N/A             N/A         1      101662.2 test_py_tuple_to_vector_round_trip<bool>
TEST:    0    1024       1     0.000029293             N/A             N/A             N/A         1       34138.4 test_py_tuple_to_vector_round_trip<long>
TEST:    0    1024       1     0.000025107             N/A             N/A             N/A         1       39830.3 test_py_tuple_to_vector_round_trip<double>
TEST:    0    1024       1     0.000027420             N/A             N/A             N/A         1       36469.1 test_vector_string_to_py_tuple<std::string[32]>():[1024]
TEST:    0    1024       1     0.000060885             N/A             N/A             N/A         1       16424.5 test_py_tuple_string_to_vector<std::string[32]>():[1024]
TEST:    0    1024       1     0.000035784             N/A             N/A             N/A         1       27945.8 test_unordered_set_to_py_set<long>
TEST:    0    1024       1     0.000070367             N/A             N/A             N/A         1       14211.3 test_py_set_to_unordered_set<long>
TEST:    0    1024       1     0.000081064             N/A             N/A             N/A         1       12336.0 test_cpp_std_unordered_map_to_py_dict<double>
TEST:    0    1024       1     0.000903611             N/A             N/A             N/A         1        1106.7 test_py_dict_to_cpp_std_unordered_map<double>
TEST:    0       2       1     0.000000645             N/A             N/A             N/A         1     1551590.4 test_vector_to_py_tuple<bool>
TEST:    0       8       1     0.000000158             N/A             N/A             N/A         1     6349206.3 test_vector_to_py_tuple<bool>
TEST:    0      32       1     0.000000507             N/A             N/A             N/A         1     1974333.7 test_vector_to_py_tuple<bool>
TEST:    0     128       1     0.000000749             N/A             N/A             N/A         1     1336005.3 test_vector_to_py_tuple<bool>
TEST:    0     512       1     0.000001799             N/A             N/A             N/A         1      556018.9 test_vector_to_py_tuple<bool>
TEST:    0    2048       1     0.000006457             N/A             N/A             N/A         1      154858.7 test_vector_to_py_tuple<bool>
TEST:    0    8192       1     0.000023878             N/A             N/A             N/A         1       41878.7 test_vector_to_py_tuple<bool>
TEST:    0   32768       1     0.000186712             N/A             N/A             N/A         1        5355.8 test_vector_to_py_tuple<bool>
TEST:    0  131072       1     0.000816264             N/A             N/A             N/A         1        1225.1 test_vector_to_py_tuple<bool>
TEST:    0  524288       1     0.003021276             N/A             N/A             N/A         1         331.0 test_vector_to_py_tuple<bool>
TEST:    0       2       1     0.000000879             N/A             N/A             N/A         1     1138303.9 test_vector_to_py_tuple<long>
TEST:    0       8       1     0.000000284             N/A             N/A             N/A         1     3527336.9 test_vector_to_py_tuple<long>
TEST:    0      32       1     0.000000784             N/A             N/A             N/A         1     1274697.3 test_vector_to_py_tuple<long>
TEST:    0     128       1     0.000001069             N/A             N/A             N/A         1      935891.4 test_vector_to_py_tuple<long>
TEST:    0     512       1     0.000006490             N/A             N/A             N/A         1      154071.3 test_vector_to_py_tuple<long>
TEST:    0    2048       1     0.000029308             N/A             N/A             N/A         1       34119.8 test_vector_to_py_tuple<long>
TEST:    0    8192       1     0.000188754             N/A             N/A             N/A         1        5297.9 test_vector_to_py_tuple<long>
TEST:    0   32768       1     0.000753557             N/A             N/A             N/A         1        1327.0 test_vector_to_py_tuple<long>
TEST:    0  131072       1     0.003240194             N/A             N/A             N/A         1         308.6 test_vector_to_py_tuple<long>
TEST:    0  524288       1     0.013989316             N/A             N/A             N/A         1          71.5 test_vector_to_py_tuple<long>
TEST:    0       2       1     0.000001399             N/A             N/A             N/A         1      715051.8 test_vector_to_py_tuple<double>
TEST:    0       8       1     0.000000263             N/A             N/A             N/A         1     3795066.4 test_vector_to_py_tuple<double>
TEST:    0      32       1     0.000000742             N/A             N/A             N/A         1     1346801.3 test_vector_to_py_tuple<double>
TEST:    0     128       1     0.000001549             N/A             N/A             N/A         1      645369.5 test_vector_to_py_tuple<double>
TEST:    0     512       1     0.000005635             N/A             N/A             N/A         1      177446.5 test_vector_to_py_tuple<double>
TEST:    0    2048       1     0.000021828             N/A             N/A             N/A         1       45811.7 test_vector_to_py_tuple<double>
TEST:    0    8192       1     0.000120912             N/A             N/A             N/A         1        8270.5 test_vector_to_py_tuple<double>
TEST:    0   32768       1     0.000444830             N/A             N/A             N/A         1        2248.1 test_vector_to_py_tuple<double>
TEST:    0  131072       1     0.002617390             N/A             N/A             N/A         1         382.1 test_vector_to_py_tuple<double>
TEST:    0  524288       1     0.013885484             N/A             N/A             N/A         1          72.0 test_vector_to_py_tuple<double>
TEST:    0       2       1     0.000000379             N/A             N/A             N/A         1     2635046.1 test_py_tuple_to_vector<bool>
TEST:    0       8       1     0.000000164             N/A             N/A             N/A         1     6116208.0 test_py_tuple_to_vector<bool>
TEST:    0      32       1     0.000000305             N/A             N/A             N/A         1     3284072.2 test_py_tuple_to_vector<bool>
TEST:    0     128       1     0.000000935             N/A             N/A             N/A         1     1068947.1 test_py_tuple_to_vector<bool>
TEST:    0     512       1     0.000003394             N/A             N/A             N/A         1      294594.2 test_py_tuple_to_vector<bool>
TEST:    0    2048       1     0.000012652             N/A             N/A             N/A         1       79035.8 test_py_tuple_to_vector<bool>
TEST:    0    8192       1     0.000051245             N/A             N/A             N/A         1       19514.3 test_py_tuple_to_vector<bool>
TEST:    0   32768       1     0.000208833             N/A             N/A             N/A         1        4788.5 test_py_tuple_to_vector<bool>
