Mac Mini B branch support_py_str. bytes are now std::vector<char> with user defined std::hash

/Users/paulross/CLionProjects/PythonCppHomogeneousContainers/cmake-build-release/PythonCppHomogeneousContainers
Hello, World!
RSS(Mb): was:      7.844 now:      7.922 diff:     +0.078 Peak was:      7.844 now:      7.922 diff:     +0.078 TEST_PERFORMANCE_OBJECT_BOOL
RSS(Mb): was:      7.922 now:      7.922 diff:     +0.000 Peak was:      7.922 now:      7.922 diff:     +0.000 TEST_PERFORMANCE_OBJECT_LONG
RSS(Mb): was:      7.922 now:      7.938 diff:     +0.016 Peak was:      7.922 now:      7.938 diff:     +0.016 TEST_PERFORMANCE_OBJECT_DOUBLE
RSS(Mb): was:      7.938 now:      9.172 diff:     +1.234 Peak was:      7.938 now:      9.172 diff:     +1.234 TEST_PERFORMANCE_OBJECT_BYTES
RSS(Mb): was:      7.844 now:      9.172 diff:     +1.328 Peak was:      7.844 now:      9.172 diff:     +1.328 TEST_PERFORMANCE_FUNDAMENTAL_TYPES
RSS(Mb): was:      9.172 now:     25.156 diff:    +15.984 Peak was:      9.172 now:     25.156 diff:    +15.984 test_perf_vector_to_py_tuple_multiple<bool>
RSS(Mb): was:     25.156 now:     34.281 diff:     +9.125 Peak was:     25.156 now:     65.281 diff:    +40.125 test_perf_vector_to_py_tuple_multiple<long>
RSS(Mb): was:     34.281 now:     58.516 diff:    +24.234 Peak was:     65.281 now:     89.516 diff:    +24.234 test_perf_vector_to_py_tuple_multiple<double>
RSS(Mb): was:     58.516 now:     66.547 diff:     +8.031 Peak was:     89.516 now:     89.516 diff:     +0.000 test_perf_py_tuple_to_vector_multiple<bool>
RSS(Mb): was:     66.547 now:     79.625 diff:    +13.078 Peak was:     89.516 now:    109.625 diff:    +20.109 test_perf_py_tuple_to_vector_multiple<long>
RSS(Mb): was:     79.625 now:     86.641 diff:     +7.016 Peak was:    109.625 now:    117.641 diff:     +8.016 test_perf_py_tuple_to_vector_multiple<double>
RSS(Mb): was:     86.641 now:    135.344 diff:    +48.703 Peak was:    117.641 now:   2885.422 diff:  +2767.781 test_perf_vector_string_to_py_tuple_multiple
RSS(Mb): was:    135.406 now:    177.672 diff:    +42.266 Peak was:   2885.422 now:   2885.422 diff:     +0.000 test_perf_py_tuple_to_vector_string_multiple
RSS(Mb): was:    177.672 now:    169.781 diff:     -7.891 Peak was:   2885.422 now:   2885.422 diff:     +0.000 test_perf_vector_to_py_list_multiple<bool>
RSS(Mb): was:    169.781 now:    178.641 diff:     +8.859 Peak was:   2885.422 now:   2885.422 diff:     +0.000 test_perf_vector_to_py_list_multiple<long>
RSS(Mb): was:    178.641 now:    184.188 diff:     +5.547 Peak was:   2885.422 now:   2885.422 diff:     +0.000 test_perf_vector_to_py_list_multiple<double>
RSS(Mb): was:    184.188 now:    184.188 diff:     +0.000 Peak was:   2885.422 now:   2885.422 diff:     +0.000 test_perf_py_list_to_vector_multiple<bool>
RSS(Mb): was:    184.188 now:    201.688 diff:    +17.500 Peak was:   2885.422 now:   2885.422 diff:     +0.000 test_perf_py_list_to_vector_multiple<long>
RSS(Mb): was:    201.688 now:    206.094 diff:     +4.406 Peak was:   2885.422 now:   2885.422 diff:     +0.000 test_perf_py_list_to_vector_multiple<double>
RSS(Mb): was:    206.094 now:    255.781 diff:    +49.688 Peak was:   2885.422 now:   2885.422 diff:     +0.000 test_perf_vector_string_to_py_list_multiple
RSS(Mb): was:    255.781 now:    146.766 diff:   -109.016 Peak was:   2885.422 now:   3144.281 diff:   +258.859 test_perf_py_list_to_vector_string_multiple
RSS(Mb): was:    146.766 now:    232.531 diff:    +85.766 Peak was:   3144.281 now:   3144.281 diff:     +0.000 test_perf_unordered_set_to_py_set_multiple<long>
RSS(Mb): was:    232.531 now:    263.094 diff:    +30.562 Peak was:   3144.281 now:   3144.281 diff:     +0.000 test_perf_unordered_set_to_py_set_multiple<double>
RSS(Mb): was:    263.094 now:    305.812 diff:    +42.719 Peak was:   3144.281 now:   3144.281 diff:     +0.000 test_perf_py_set_to_unordered_set_multiple<long>
RSS(Mb): was:    305.812 now:    370.359 diff:    +64.547 Peak was:   3144.281 now:   3144.281 diff:     +0.000 test_perf_py_set_to_unordered_set_multiple<double>
RSS(Mb): was:    370.359 now:    349.203 diff:    -21.156 Peak was:   3144.281 now:   3144.281 diff:     +0.000 test_perf_unordered_set_string_to_py_set_multiple
RSS(Mb): was:    349.203 now:   3281.266 diff:  +2932.062 Peak was:   3144.281 now:   3898.578 diff:   +754.297 test_perf_py_set_bytes_to_unordered_set_string_multiple
RSS(Mb): was:   3281.281 now:   3373.625 diff:    +92.344 Peak was:   3898.578 now:   3898.578 diff:     +0.000 test_perf_cpp_std_unordered_map_to_py_dict_multiple<long,long>
RSS(Mb): was:   3373.625 now:   3379.266 diff:     +5.641 Peak was:   3898.578 now:   3898.578 diff:     +0.000 test_perf_cpp_std_unordered_map_to_py_dict_multiple<double,double>
RSS(Mb): was:   3379.266 now:   3380.328 diff:     +1.062 Peak was:   3898.578 now:   3898.578 diff:     +0.000 test_perf_py_dict_to_cpp_std_unordered_map_multiple<long,long>
RSS(Mb): was:   3380.328 now:   3383.625 diff:     +3.297 Peak was:   3898.578 now:   3898.578 diff:     +0.000 test_perf_py_dict_to_cpp_std_unordered_map_multiple<double,double>
RSS(Mb): was:   3383.625 now:    845.156 diff:  -2538.469 Peak was:   3898.578 now:   4603.484 diff:   +704.906 test_perf_cpp_std_unordered_map_to_py_dict_string_multiple
RSS(Mb): was:    845.156 now:    873.188 diff:    +28.047 Peak was:   4603.484 now:   4736.875 diff:   +133.391 test_perf_py_dict_to_cpp_std_unordered_map_string_multiple
==== RSS(Mb): was:      7.844 now:    873.203 diff:   +865.359 Peak was:      7.844 now:   4736.875 diff:  +4729.031 ==== test_performance.cpp
Number of tests: 1110
REGEX_HEAD: "HEAD:\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)"
REGEX_TEST: "TEST:\s+(\d+)\s+(\d+)\s+(\d+)\s+([0-9+-.]+)\s+([0-9+-.]+)\s+([0-9+-.]+)\s+([0-9+-.]+)\s+(\d+)\s+([0-9+-.]+)\s+(\S+)"
REGEX_TAIL: "TAIL:\s+(.+)"
HEAD: Fail   Scale  Repeat         Mean(s)     Std.Dev.(s)         Min.(s)         Max.(s)     Count      Rate(/s) Name
TEST:    0 1000000      20     0.005519619     0.001657410     0.004394208     0.011091209        20        3623.4 test_bool_to_py_bool_multiple[1000000]
TEST:    0 1000000      20     0.001013788     0.000016041     0.001001250     0.001073126        20       19728.0 test_py_bool_to_cpp_bool_multiple[1000000]
TEST:    0 1000000      20     0.009426211     0.003850584     0.007468334     0.022065083        20        2121.7 test_long_to_py_int_multiple[1000000]
TEST:    0 1000000      20     0.002061815     0.000115162     0.002008000     0.002399500        20        9700.2 test_py_int_to_cpp_long_multiple[1000000]
TEST:    0 1000000      20     0.006517919     0.003061335     0.004374584     0.015686333        20        3068.5 test_double_to_py_float_multiple[1000000]
TEST:    0 1000000      20     0.004178598     0.000621192     0.003681417     0.005602543        20        4786.3 test_py_float_to_cpp_double_multiple[1000000]
TEST:    0 1000000      20     0.012772421     0.003643934     0.010222166     0.026094835        20        1565.9 test_cpp_vector_char_to_py_bytes_multiple_2[1000000]
TEST:    0 1000000      20     0.015848428     0.005483337     0.010841501     0.031397709        20        1262.0 test_cpp_vector_char_to_py_bytes_multiple_16[1000000]
TEST:    0 1000000      20     0.014246619     0.003175800     0.011625168     0.020563708        20        1403.8 test_cpp_vector_char_to_py_bytes_multiple_128[1000000]
TEST:    0 1000000      20     0.050746236     0.008777400     0.045220084     0.083043668        20         394.1 test_cpp_vector_char_to_py_bytes_multiple_1024[1000000]
TEST:    0 1000000      20     0.141694084     0.009792766     0.134012667     0.179414418        20         141.1 test_cpp_vector_char_to_py_bytes_multiple_8192[1000000]
TEST:    0 1000000      20     1.072898588     0.013898429     1.053976376     1.109341501        20          18.6 test_cpp_vector_char_to_py_bytes_multiple_65536[1000000]
TEST:    0 1000000      20     0.026282994     0.000345481     0.025912959     0.027297709        20         760.9 test_py_bytes_to_cpp_vector_char_multiple_2[1000000]
TEST:    0 1000000      20     0.033152021     0.000367088     0.032605333     0.034073292        20         603.3 test_py_bytes_to_cpp_vector_char_multiple_16[1000000]
TEST:    0 1000000      20     0.087399080     0.003569222     0.082162251     0.093159459        20         228.8 test_py_bytes_to_cpp_vector_char_multiple_128[1000000]
TEST:    0 1000000      20     0.407514315     0.001049855     0.406457958     0.410478250        20          49.1 test_py_bytes_to_cpp_vector_char_multiple_1024[1000000]
TEST:    0 1000000      20     3.195042523     0.269232719     3.030805750     3.944373834        20           6.3 test_py_bytes_to_cpp_vector_char_multiple_8192[1000000]
TEST:    0 1000000      20    23.804934128     0.043461896    23.767192000    23.939588584        20           0.8 test_py_bytes_to_cpp_vector_char_multiple_65536[1000000]
TEST:    0       1       5     0.000001251     0.000002417     0.000000001     0.000006084         5     3997122.1 test_vector_to_py_tuple_multiple<bool>[1]
TEST:    0       2       5     0.000000034     0.000000017     0.000000001     0.000000042         5   147492625.4 test_vector_to_py_tuple_multiple<bool>[2]
TEST:    0       4       5     0.000000067     0.000000050     0.000000042     0.000000168         5    74294205.1 test_vector_to_py_tuple_multiple<bool>[4]
TEST:    0       8       5     0.000000067     0.000000050     0.000000042     0.000000168         5    74515648.3 test_vector_to_py_tuple_multiple<bool>[8]
TEST:    0      16       5     0.000000101     0.000000077     0.000000042     0.000000251         5    49751243.8 test_vector_to_py_tuple_multiple<bool>[16]
TEST:    0      32       5     0.000000142     0.000000097     0.000000083     0.000000334         5    35186488.4 test_vector_to_py_tuple_multiple<bool>[32]
TEST:    0      64       5     0.000000217     0.000000100     0.000000168     0.000000417         5    23009664.1 test_vector_to_py_tuple_multiple<bool>[64]
TEST:    0     128       5     0.000000401     0.000000176     0.000000293     0.000000750         5    12478163.2 test_vector_to_py_tuple_multiple<bool>[128]
TEST:    0     256       5     0.000000667     0.000000167     0.000000584     0.000001000         5     7492881.8 test_vector_to_py_tuple_multiple<bool>[256]
TEST:    0     512       5     0.000001201     0.000000150     0.000001126     0.000001501         5     4164931.3 test_vector_to_py_tuple_multiple<bool>[512]
TEST:    0    1024       5     0.000002367     0.000000138     0.000002250     0.000002626         5     2112289.3 test_vector_to_py_tuple_multiple<bool>[1024]
TEST:    0    2048       5     0.000005151     0.000001327     0.000004334     0.000007793         5      970741.8 test_vector_to_py_tuple_multiple<bool>[2048]
TEST:    0    4096       5     0.000009042     0.000000792     0.000008626     0.000010626         5      552968.9 test_vector_to_py_tuple_multiple<bool>[4096]
TEST:    0    8192       5     0.000018617     0.000002902     0.000016959     0.000024418         5      268570.3 test_vector_to_py_tuple_multiple<bool>[8192]
TEST:    0   16384       5     0.000036751     0.000004229     0.000034583     0.000045208         5      136051.8 test_vector_to_py_tuple_multiple<bool>[16384]
TEST:    0   32768       5     0.000072634     0.000007246     0.000068958     0.000087125         5       68838.6 test_vector_to_py_tuple_multiple<bool>[32768]
TEST:    0   65536       5     0.000144642     0.000015159     0.000136875     0.000174960         5       34568.0 test_vector_to_py_tuple_multiple<bool>[65536]
TEST:    0  131072       5     0.000289117     0.000028651     0.000274625     0.000346418         5       17294.0 test_vector_to_py_tuple_multiple<bool>[131072]
TEST:    0  262144       5     0.000636909     0.000044639     0.000613459     0.000726167         5        7850.4 test_vector_to_py_tuple_multiple<bool>[262144]
TEST:    0  524288       5     0.001265842     0.000055539     0.001228876     0.001375208         5        3949.9 test_vector_to_py_tuple_multiple<bool>[524288]
TEST:    0 1048576       5     0.002510426     0.000097473     0.002459126     0.002705292         5        1991.7 test_vector_to_py_tuple_multiple<bool>[1048576]
TEST:    0       1       5     0.000000126     0.000000209     0.000000001     0.000000542         5    39777247.4 test_vector_to_py_tuple_multiple<long>[1]
TEST:    0       2       5     0.000000042     0.000000000     0.000000042     0.000000042         5   119331742.2 test_vector_to_py_tuple_multiple<long>[2]
TEST:    0       4       5     0.000000042     0.000000000     0.000000042     0.000000042         5   118203309.7 test_vector_to_py_tuple_multiple<long>[4]
TEST:    0       8       5     0.000000075     0.000000049     0.000000042     0.000000168         5    66401062.4 test_vector_to_py_tuple_multiple<long>[8]
TEST:    0      16       5     0.000000142     0.000000098     0.000000083     0.000000334         5    35186488.4 test_vector_to_py_tuple_multiple<long>[16]
TEST:    0      32       5     0.000000142     0.000000097     0.000000083     0.000000334         5    35236081.7 test_vector_to_py_tuple_multiple<long>[32]
TEST:    0      64       5     0.000000267     0.000000138     0.000000168     0.000000542         5    18719580.7 test_vector_to_py_tuple_multiple<long>[64]
TEST:    0     128       5     0.000000442     0.000000134     0.000000375     0.000000710         5    11304544.4 test_vector_to_py_tuple_multiple<long>[128]
TEST:    0     256       5     0.000000801     0.000000143     0.000000710     0.000001084         5     6244536.0 test_vector_to_py_tuple_multiple<long>[256]
TEST:    0     512       5     0.000002226     0.000000202     0.000002084     0.000002626         5     2246686.1 test_vector_to_py_tuple_multiple<long>[512]
TEST:    0    1024       5     0.000004984     0.000000248     0.000004791     0.000005459         5     1003270.7 test_vector_to_py_tuple_multiple<long>[1024]
TEST:    0    2048       5     0.000011167     0.000002604     0.000009833     0.000016375         5      447743.8 test_vector_to_py_tuple_multiple<long>[2048]
TEST:    0    4096       5     0.000022200     0.000003484     0.000020417     0.000029168         5      225222.2 test_vector_to_py_tuple_multiple<long>[4096]
TEST:    0    8192       5     0.000044134     0.000005267     0.000041375     0.000054667         5      113291.6 test_vector_to_py_tuple_multiple<long>[8192]
TEST:    0   16384       5     0.000089350     0.000011601     0.000083125     0.000112541         5       55959.5 test_vector_to_py_tuple_multiple<long>[16384]
TEST:    0   32768       5     0.000178842     0.000021894     0.000167585     0.000222626         5       27957.6 test_vector_to_py_tuple_multiple<long>[32768]
TEST:    0   65536       5     0.000430400     0.000006608     0.000425667     0.000443458         5       11617.1 test_vector_to_py_tuple_multiple<long>[65536]
TEST:    0  131072       5     0.000939051     0.000025689     0.000921876     0.000990168         5        5324.5 test_vector_to_py_tuple_multiple<long>[131072]
TEST:    0  262144       5     0.002047784     0.000035579     0.002023458     0.002118209         5        2441.7 test_vector_to_py_tuple_multiple<long>[262144]
TEST:    0  524288       5     0.004145859     0.000046833     0.004102209     0.004232500         5        1206.0 test_vector_to_py_tuple_multiple<long>[524288]
TEST:    0 1048576       5     0.008414209     0.000134014     0.008321584     0.008677459         5         594.2 test_vector_to_py_tuple_multiple<long>[1048576]
TEST:    0       1       5     0.000000193     0.000000321     0.000000001     0.000000835         5    25974026.0 test_vector_to_py_tuple_multiple<double>[1]
TEST:    0       2       5     0.000000025     0.000000020     0.000000001     0.000000042         5   197628458.5 test_vector_to_py_tuple_multiple<double>[2]
TEST:    0       4       5     0.000000026     0.000000021     0.000000001     0.000000042         5   194552529.2 test_vector_to_py_tuple_multiple<double>[4]
TEST:    0       8       5     0.000000117     0.000000130     0.000000042     0.000000375         5    42698548.2 test_vector_to_py_tuple_multiple<double>[8]
TEST:    0      16       5     0.000000117     0.000000048     0.000000083     0.000000208         5    42698548.2 test_vector_to_py_tuple_multiple<double>[16]
TEST:    0      32       5     0.000000217     0.000000184     0.000000126     0.000000584         5    23009664.1 test_vector_to_py_tuple_multiple<double>[32]
TEST:    0      64       5     0.000000309     0.000000117     0.000000251     0.000000542         5    16186468.1 test_vector_to_py_tuple_multiple<double>[64]
TEST:    0     128       5     0.000000600     0.000000104     0.000000501     0.000000793         5     8326394.7 test_vector_to_py_tuple_multiple<double>[128]
TEST:    0     256       5     0.000001184     0.000000033     0.000001168     0.000001250         5     4222616.3 test_vector_to_py_tuple_multiple<double>[256]
TEST:    0     512       5     0.000002484     0.000000114     0.000002417     0.000002710         5     2012963.5 test_vector_to_py_tuple_multiple<double>[512]
TEST:    0    1024       5     0.000005026     0.000000050     0.000005000     0.000005126         5      994925.9 test_vector_to_py_tuple_multiple<double>[1024]
TEST:    0    2048       5     0.000009909     0.000000338     0.000009709     0.000010585         5      504596.9 test_vector_to_py_tuple_multiple<double>[2048]
TEST:    0    4096       5     0.000020767     0.000002159     0.000019626     0.000025084         5      240767.8 test_vector_to_py_tuple_multiple<double>[4096]
TEST:    0    8192       5     0.000040084     0.000000959     0.000039542     0.000042000         5      124739.0 test_vector_to_py_tuple_multiple<double>[8192]
TEST:    0   16384       5     0.000080109     0.000001254     0.000079001     0.000082543         5       62415.0 test_vector_to_py_tuple_multiple<double>[16384]
TEST:    0   32768       5     0.000163834     0.000009316     0.000158416     0.000182376         5       30518.8 test_vector_to_py_tuple_multiple<double>[32768]
TEST:    0   65536       5     0.000403292     0.000005481     0.000395583     0.000412667         5       12398.0 test_vector_to_py_tuple_multiple<double>[65536]
TEST:    0  131072       5     0.000890842     0.000035352     0.000863417     0.000958084         5        5612.7 test_vector_to_py_tuple_multiple<double>[131072]
TEST:    0  262144       5     0.001964776     0.000042557     0.001918292     0.002028626         5        2544.8 test_vector_to_py_tuple_multiple<double>[262144]
