/Users/engun/CLionProjects/PythonCppHomogeneousContainers/cmake-build-release/PyCppContainers
Hello, World!
Python version: 3.12.1
test_internal_all START
==== RSS(Mb): was:      6.348 now:      6.395 diff:     +0.047 Peak was:      6.348 now:      6.395 diff:     +0.047 ==== test_functional.cpp
test_internal_all FINISH
test_performance_all START
RSS(Mb): was:      6.402 now:      6.426 diff:     +0.023 Peak was:      6.402 now:      6.426 diff:     +0.023 TEST_PERFORMANCE_OBJECT_BOOL
RSS(Mb): was:      6.426 now:      6.430 diff:     +0.004 Peak was:      6.426 now:      6.430 diff:     +0.004 TEST_PERFORMANCE_OBJECT_LONG
RSS(Mb): was:      6.430 now:      6.438 diff:     +0.008 Peak was:      6.430 now:      6.438 diff:     +0.008 TEST_PERFORMANCE_OBJECT_DOUBLE
RSS(Mb): was:      6.438 now:      6.449 diff:     +0.012 Peak was:      6.438 now:      6.449 diff:     +0.012 TEST_PERFORMANCE_OBJECT_COMPLEX
RSS(Mb): was:      6.449 now:     12.531 diff:     +6.082 Peak was:      6.449 now:     12.535 diff:     +6.086 TEST_PERFORMANCE_OBJECT_BYTES
RSS(Mb): was:     12.535 now:     14.520 diff:     +1.984 Peak was:     12.535 now:     14.582 diff:     +2.047 TEST_PERFORMANCE_OBJECT_STRING
RSS(Mb): was:     14.520 now:     19.746 diff:     +5.227 Peak was:     14.582 now:     19.781 diff:     +5.199 TEST_PERFORMANCE_OBJECT_STRING_16
RSS(Mb): was:     19.746 now:     27.809 diff:     +8.062 Peak was:     19.781 now:     27.844 diff:     +8.062 TEST_PERFORMANCE_OBJECT_STRING_32
RSS(Mb): was:      6.402 now:     27.809 diff:    +21.406 Peak was:      6.402 now:     27.844 diff:    +21.441 TEST_PERFORMANCE_FUNDAMENTAL_TYPES
==== RSS(Mb): was:      6.402 now:     27.809 diff:    +21.406 Peak was:      6.402 now:     27.844 diff:    +21.441 ==== test_performance.cpp
test_performance_all FINISH
Number of tests: 185
REGEX_HEAD: "HEAD:\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)"
REGEX_TEST: "TEST:\s+(\d+)\s+(\d+)\s+(\d+)\s+([0-9+-.]+)\s+([0-9+-.]+)\s+([0-9+-.]+)\s+([0-9+-.]+)\s+(\d+)\s+([0-9+-.]+)\s+(\S+)"
REGEX_TAIL: "TAIL:\s+(.+)"
HEAD: Fail   Scale  Repeat         Mean(s)     Std.Dev.(s)         Min.(s)         Max.(s)     Count      Rate(/s) Name
TEST:    0       1       1     0.000006789             N/A             N/A             N/A         1      147307.9 test_internal_test_result_test_count
TEST:    0       1       1     0.000002601             N/A             N/A             N/A         1      384393.6 test_internal_test_result_total_time
TEST:    0       1       1     0.000000832             N/A             N/A             N/A         1     1202645.8 test_internal_test_result_exec_time_min_max
TEST:    0       1       1     0.000000873             N/A             N/A             N/A         1     1146131.8 test_internal_test_result_exec_time
TEST:    0       1       1     0.000028293             N/A             N/A             N/A         1       35345.1 test_internal_test_result_string
TEST:    0       1       1     0.000013827             N/A             N/A             N/A         1       72319.7 test_internal_test_result_string_multiple_a
TEST:    0       1       1     0.000008324             N/A             N/A             N/A         1      120127.3 test_internal_test_result_string_multiple_b
TEST:    0       1       1     0.000003339             N/A             N/A             N/A         1      299446.0 test_internal_test_result_string_using_rate
TEST:    0       1       1     0.000001252             N/A             N/A             N/A         1      799041.2 test_internal_test_result_atomic_test_mean_exec_time

TEST:    0       1      20     0.002125010     0.000111730     0.001912003     0.002349295  20000000  9411719529.6 test_bool_to_py_bool_multiple[1000000]
TEST:    0       1      20     0.002617965     0.001096255     0.001362315     0.005657270  20000000  7639521828.6 test_py_bool_to_cpp_bool_multiple[1000000]
TEST:    0       1      20     0.030308651     0.003942900     0.023712049     0.037621935  20000000   659877597.4 test_long_to_py_int_multiple[1000000]
TEST:    0       1      20     0.006704244     0.001514527     0.004551152     0.010858632  20000000  2983185179.8 test_py_int_to_cpp_long_multiple[1000000]
TEST:    0       1      20     0.013384745     0.001632277     0.011237353     0.017167724  20000000  1494238358.8 test_double_to_py_float_multiple[1000000]
TEST:    0       1      20     0.003626814     0.000694005     0.002948192     0.005433085  20000000  5514481400.4 test_py_float_to_cpp_double_multiple[1000000]
TEST:    0       1      20     0.026613583     0.002618806     0.023141680     0.033180454  20000000   751495965.9 test_complex_to_py_complex_multiple[1000000]
TEST:    0       1      20     0.006172222     0.001255233     0.004864848     0.011165639  20000000  3240324149.1 test_py_complex_to_cpp_complex_multiple[1000000]

TEST:    0       1       5     0.000001033     0.000000399     0.000000808     0.000001831       500   483792936.6 test_cpp_vector_char_to_py_bytes_multiple_1[100]
TEST:    0       2       5     0.000004363     0.000001462     0.000003542     0.000007283       500   114607926.3 test_cpp_vector_char_to_py_bytes_multiple_2[100]
TEST:    0       4       5     0.000003891     0.000000123     0.000003681     0.000004018       500   128498368.1 test_cpp_vector_char_to_py_bytes_multiple_4[100]
TEST:    0       8       5     0.000003407     0.000000540     0.000002531     0.000003855       500   146769601.1 test_cpp_vector_char_to_py_bytes_multiple_8[100]
