# test_new_bytes()
# RSS was 67,047,424 now 71,122,944 diff: +4,075,520
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000250      0.000000583      0.000000375      0.000000450      0.000001333        5.332        125.0
4                   5      0.000000250      0.000000275      0.000000250      0.000000056      0.000000375        1.500         62.5
8                   5      0.000000209      0.000000258      0.000000250      0.000000045      0.000000333        1.594         26.1
16                  5      0.000000250      0.000000267      0.000000250      0.000000037      0.000000333        1.332         15.6
32                  5      0.000000250      0.000000258      0.000000250      0.000000018      0.000000291        1.164          7.8
64                  5      0.000000250      0.000000258      0.000000250      0.000000019      0.000000292        1.168          3.9
128                 5      0.000000209      0.000000242      0.000000250      0.000000035      0.000000292        1.397          1.6
256                 5      0.000000250      0.000000317      0.000000250      0.000000127      0.000000541        2.164          1.0
512                 5      0.000000416      0.000000575      0.000000417      0.000000354      0.000001208        2.904          0.8
1024                5      0.000000334      0.000000433      0.000000375      0.000000155      0.000000708        2.120          0.3
2048                5      0.000000375      0.000000492      0.000000417      0.000000151      0.000000750        2.000          0.2
4096                5      0.000000417      0.000000900      0.000000500      0.000000919      0.000002542        6.096          0.1
8192                5      0.000000666      0.000000975      0.000000667      0.000000666      0.000002166        3.252          0.1
16384               5      0.000000958      0.000001625      0.000001000      0.000001421      0.000004167        4.350          0.1
32768               5      0.000001666      0.000003075      0.000001708      0.000003033      0.000008500        5.102          0.1
65536               5      0.000004416      0.000006242      0.000004500      0.000003941      0.000013292        3.010          0.1
131072              5      0.000008334      0.000009867      0.000008375      0.000003312      0.000015792        1.895          0.1
262144              5      0.000016250      0.000048267      0.000016333      0.000071405      0.000176000       10.831          0.1
524288              5      0.000032959      0.000056359      0.000033250      0.000043742      0.000133625        4.054          0.1
1048576             5      0.000065917      0.000148717      0.000066458      0.000178637      0.000468167        7.102          0.1
