# RSS was 2,859,855,872 now 1,900,580,864 diff: -959,275,008
# test_new_dict_map_bytes_bytes() Byte length 1024
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000002834      0.000003925      0.000002875      0.000002257      0.000007958        2.808       1417.0
4                   5      0.000007166      0.000007400      0.000007250      0.000000344      0.000008000        1.116       1791.5
8                   5      0.000019208      0.000019508      0.000019333      0.000000396      0.000020167        1.050       2401.0
16                  5      0.000043875      0.000044667      0.000044042      0.000001348      0.000047042        1.072       2742.2
32                  5      0.000105250      0.000105558      0.000105417      0.000000377      0.000106166        1.009       3289.1
64                  5      0.000207292      0.000207833      0.000207541      0.000000636      0.000208792        1.007       3238.9
128                 5      0.000447875      0.000449283      0.000448791      0.000001872      0.000452500        1.010       3499.0
256                 5      0.001007125      0.001010408      0.001009708      0.000003049      0.001015417        1.008       3934.1
512                 5      0.002124958      0.002132016      0.002132125      0.000004666      0.002137542        1.006       4150.3
1024                5      0.003801250      0.003936008      0.003806458      0.000214291      0.004296959        1.130       3712.2
2048                5      0.007893125      0.008133209      0.008132209      0.000256614      0.008527042        1.080       3854.1
4096                5      0.016439167      0.016574275      0.016515500      0.000141511      0.016772917        1.020       4013.5
8192                5      0.033464958      0.034399233      0.033827417      0.001047512      0.036012542        1.076       4085.1
16384               5      0.080260708      0.081250725      0.081641417      0.000791212      0.082091250        1.023       4898.7
32768               5      0.154191834      0.155963283      0.154544958      0.003134577      0.161522250        1.048       4705.6
65536               5      0.348263125      0.351853825      0.348900875      0.006941547      0.364257500        1.046       5314.1
131072              5      0.686531667      0.698841308      0.689651500      0.016716642      0.726891833        1.059       5237.8
262144              5      1.212016959      1.250356267      1.236209708      0.035449074      1.305058875        1.077       4623.5
524288              5      2.555810834      2.941796284      2.700060250      0.460407512      3.482159500        1.362       4874.8
1048576             5      8.903555625      8.995280983      8.980543125      0.098171040      9.151870083        1.028       8491.1
