# RSS was 2,115,256,320 now 2,859,835,392 diff: +744,579,072
# test_new_dict_map_bytes_bytes() Byte length 128
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000001083      0.000002275      0.000001125      0.000002482      0.000006709        6.195        541.5
4                   5      0.000001917      0.000002050      0.000001958      0.000000231      0.000002459        1.283        479.2
8                   5      0.000004250      0.000004483      0.000004375      0.000000274      0.000004917        1.157        531.3
16                  5      0.000009500      0.000011575      0.000009666      0.000004227      0.000019125        2.013        593.7
32                  5      0.000022709      0.000023559      0.000023000      0.000001267      0.000025750        1.134        709.7
64                  5      0.000044666      0.000047833      0.000045333      0.000004828      0.000056083        1.256        697.9
128                 5      0.000102125      0.000104033      0.000103583      0.000002020      0.000106333        1.041        797.9
256                 5      0.000209334      0.000212484      0.000212334      0.000003514      0.000218125        1.042        817.7
512                 5      0.000409375      0.000425433      0.000429542      0.000009342      0.000431791        1.055        799.6
1024                5      0.000801583      0.000805400      0.000803833      0.000004576      0.000812833        1.014        782.8
2048                5      0.001606833      0.001611758      0.001610000      0.000005533      0.001621208        1.009        784.6
4096                5      0.003240041      0.003255741      0.003242333      0.000031265      0.003311625        1.022        791.0
8192                5      0.006482458      0.006583467      0.006523375      0.000175172      0.006894500        1.064        791.3
16384               5      0.013077750      0.013637775      0.013308916      0.000699893      0.014696417        1.124        798.2
32768               5      0.029174750      0.030528708      0.030445375      0.001548129      0.033024125        1.132        890.3
65536               5      0.059071667      0.060220767      0.059964708      0.001144881      0.061541333        1.042        901.4
131072              5      0.130071292      0.132868058      0.132426417      0.002675137      0.136893583        1.052        992.4
262144              5      0.253980917      0.261791609      0.255859209      0.011400106      0.281030250        1.107        968.9
524288              5      0.508679750      0.519288542      0.512032208      0.017637968      0.550651291        1.083        970.2
1048576             5      1.049100667      1.056786750      1.050204167      0.014374688      1.082396542        1.032       1000.5
