# RSS was 223,137,792 now 386,080,768 diff: 162,942,976
# test_new_dict_map_bytes_bytes() Byte length 16
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000001003      0.000004369      0.000001106      0.000007278      0.000017386       17.334        501.5
4                   5      0.000001745      0.000003141      0.000001770      0.000003011      0.000008525        4.885        436.2
8                   5      0.000003376      0.000005651      0.000003477      0.000004846      0.000014317        4.241        422.0
16                  5      0.000007025      0.000011884      0.000007253      0.000010301      0.000030304        4.314        439.1
32                  5      0.000014934      0.000021334      0.000015553      0.000012789      0.000044174        2.958        466.7
64                  5      0.000032196      0.000038844      0.000034087      0.000008161      0.000047793        1.484        503.1
128                 5      0.000068134      0.000071100      0.000069300      0.000004309      0.000078491        1.152        532.3
256                 5      0.000140628      0.000143045      0.000141651      0.000003581      0.000149292        1.062        549.3
512                 5      0.000272272      0.000302652      0.000279251      0.000049150      0.000389253        1.430        531.8
1024                5      0.000540871      0.000553187      0.000541395      0.000024488      0.000596860        1.104        528.2
2048                5      0.001120970      0.001210820      0.001149670      0.000113747      0.001393365        1.243        547.3
4096                5      0.002159089      0.002363781      0.002206746      0.000273440      0.002777269        1.286        527.1
8192                5      0.004451335      0.004880201      0.004706407      0.000412571      0.005511577        1.238        543.4
16384               5      0.010029512      0.010486663      0.010578699      0.000357763      0.010948994        1.092        612.2
32768               5      0.022317176      0.022734887      0.022671288      0.000332428      0.023211312        1.040        681.1
65536               5      0.050640509      0.051104707      0.051088756      0.000472451      0.051851931        1.024        772.7
131072              5      0.104989629      0.107303189      0.106297727      0.002137550      0.110177247        1.049        801.0
262144              5      0.219448272      0.224157376      0.224448074      0.002879508      0.226527642        1.032        837.1
524288              5      0.472853697      0.480149747      0.481597529      0.004308259      0.483718068        1.023        901.9
1048576             5      1.042823145      1.157304291      1.058104254      0.213861501      1.537796653        1.475        994.5
