# test_new_dict_map_complex_complex()
# RSS was 980,344,832 now 1,466,425,344 diff: +486,080,512
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000584      0.000253267      0.000000708      0.000564621      0.001263292     2163.181        292.0
4                   5      0.000000917      0.000001075      0.000001083      0.000000148      0.000001292        1.409        229.3
8                   5      0.000001666      0.000001800      0.000001750      0.000000149      0.000002042        1.226        208.3
16                  5      0.000003375      0.000003717      0.000003416      0.000000651      0.000004875        1.444        210.9
32                  5      0.000006666      0.000006867      0.000006750      0.000000280      0.000007333        1.100        208.3
64                  5      0.000013333      0.000013542      0.000013417      0.000000273      0.000014000        1.050        208.3
128                 5      0.000026583      0.000027475      0.000027000      0.000001405      0.000029959        1.127        207.7
256                 5      0.000053417      0.000054317      0.000053750      0.000001379      0.000056750        1.062        208.7
512                 5      0.000111916      0.000114100      0.000113417      0.000002431      0.000117292        1.048        218.6
1024                5      0.000231375      0.000234308      0.000233875      0.000002719      0.000238584        1.031        226.0
2048                5      0.000467959      0.000473950      0.000472834      0.000004994      0.000481292        1.028        228.5
4096                5      0.000892500      0.000902358      0.000896167      0.000013510      0.000925250        1.037        217.9
8192                5      0.001880167      0.001894592      0.001900291      0.000012309      0.001908750        1.015        229.5
16384               5      0.004070083      0.004090816      0.004090208      0.000017897      0.004115458        1.011        248.4
32768               5      0.008671083      0.008806475      0.008731125      0.000157043      0.009064042        1.045        264.6
65536               5      0.018902083      0.019066200      0.018995375      0.000219981      0.019452500        1.029        288.4
131072              5      0.040626750      0.041051133      0.040830833      0.000617957      0.042132125        1.037        310.0
262144              5      0.087908959      0.089744575      0.089671000      0.001261466      0.091299375        1.039        335.3
524288              5      0.191742625      0.199642308      0.199747208      0.006334185      0.209241542        1.091        365.7
1048576             5      0.421196000      0.438134550      0.441135916      0.009654845      0.445511125        1.058        401.7
