# test_new_dict_map_float_float()
# RSS was 740,032,512 now 1,112,240,128 diff: +372,207,616
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000500      0.000001792      0.000000625      0.000002613      0.000006458       12.916        250.0
4                   5      0.000000750      0.000000892      0.000000833      0.000000228      0.000001292        1.723        187.5
8                   5      0.000001375      0.000001550      0.000001500      0.000000215      0.000001917        1.394        171.9
16                  5      0.000002750      0.000003342      0.000002958      0.000001051      0.000005208        1.894        171.9
32                  5      0.000005250      0.000005592      0.000005417      0.000000421      0.000006292        1.198        164.1
64                  5      0.000010625      0.000011000      0.000010792      0.000000515      0.000011875        1.118        166.0
128                 5      0.000022791      0.000023600      0.000023042      0.000001355      0.000026000        1.141        178.1
256                 5      0.000046958      0.000047500      0.000047083      0.000000920      0.000049125        1.046        183.4
512                 5      0.000097500      0.000099583      0.000099166      0.000001992      0.000102666        1.053        190.4
1024                5      0.000197375      0.000199883      0.000198541      0.000003431      0.000205834        1.043        192.7
2048                5      0.000400542      0.000402983      0.000402083      0.000002663      0.000406500        1.015        195.6
4096                5      0.000803042      0.000812192      0.000805459      0.000013531      0.000835625        1.041        196.1
8192                5      0.001624333      0.001634658      0.001631042      0.000012677      0.001656542        1.020        198.3
16384               5      0.003256625      0.003272808      0.003273542      0.000010406      0.003285000        1.009        198.8
32768               5      0.006676250      0.006695475      0.006698583      0.000014718      0.006715917        1.006        203.7
65536               5      0.013853375      0.013886858      0.013889042      0.000028471      0.013924625        1.005        211.4
131072              5      0.028530542      0.028867467      0.028754625      0.000453508      0.029637500        1.039        217.7
262144              5      0.062523083      0.063258967      0.063385209      0.000458626      0.063697375        1.019        238.5
524288              5      0.132932750      0.133762084      0.133235459      0.000946995      0.134925292        1.015        253.5
1048576             5      0.257417708      0.267563367      0.271452458      0.008513202      0.277064334        1.076        245.5
