# test_new_dict_map_int_int()
# RSS was 334,946,304 now 626,253,824 diff: +291,307,520
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000417      0.000002567      0.000000750      0.000004276      0.000010208       24.480        208.5
4                   5      0.000000625      0.000000775      0.000000750      0.000000137      0.000000917        1.467        156.2
8                   5      0.000001042      0.000001242      0.000001208      0.000000154      0.000001416        1.359        130.2
16                  5      0.000002125      0.000002717      0.000002291      0.000001094      0.000004667        2.196        132.8
32                  5      0.000003833      0.000057433      0.000003959      0.000119294      0.000270833       70.659        119.8
64                  5      0.000007250      0.000007475      0.000007292      0.000000332      0.000008042        1.109        113.3
128                 5      0.000014000      0.000014592      0.000014166      0.000000967      0.000016292        1.164        109.4
256                 5      0.000027375      0.000028217      0.000027958      0.000001111      0.000030125        1.100        106.9
512                 5      0.000064542      0.000065800      0.000064916      0.000002082      0.000069500        1.077        126.1
1024                5      0.000138500      0.000143117      0.000139458      0.000008202      0.000157625        1.138        135.3
2048                5      0.000286458      0.000293533      0.000287250      0.000014098      0.000318708        1.113        139.9
4096                5      0.000590125      0.000602017      0.000591834      0.000023993      0.000644917        1.093        144.1
8192                5      0.001195875      0.001223008      0.001199583      0.000051136      0.001314042        1.099        146.0
16384               5      0.002431708      0.002475341      0.002441708      0.000057930      0.002560708        1.053        148.4
32768               5      0.004959709      0.005139150      0.005010958      0.000336345      0.005739167        1.157        151.4
65536               5      0.010162167      0.010359417      0.010241083      0.000337125      0.010957917        1.078        155.1
131072              5      0.021365209      0.021839409      0.021572250      0.000680811      0.023008125        1.077        163.0
262144              5      0.047984625      0.048348208      0.048422792      0.000309302      0.048714542        1.015        183.0
524288              5      0.099539125      0.102409717      0.101616916      0.003131308      0.107431917        1.079        189.9
1048576             5      0.197984541      0.206132058      0.206696917      0.005231231      0.212354209        1.073        188.8
