# RSS was 2,534,952,960 now 3,373,146,112 diff: +838,193,152
# test_new_dict_map_int_str16() String length 1024
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000014916      0.000016483      0.000015041      0.000003180      0.000022166        1.486       7458.0
4                   5      0.000029541      0.000029892      0.000029833      0.000000461      0.000030667        1.038       7385.2
8                   5      0.000059250      0.000059750      0.000059541      0.000000676      0.000060916        1.028       7406.3
16                  5      0.000118917      0.000121867      0.000119250      0.000005863      0.000132333        1.113       7432.3
32                  5      0.000238250      0.000239133      0.000239250      0.000000841      0.000240334        1.009       7445.3
64                  5      0.000476708      0.000478325      0.000478000      0.000001521      0.000480792        1.009       7448.6
128                 5      0.000951000      0.000952058      0.000951833      0.000000953      0.000953584        1.003       7429.7
256                 5      0.001898458      0.001902708      0.001903250      0.000003161      0.001906375        1.004       7415.9
512                 5      0.003811750      0.003821667      0.003820875      0.000009260      0.003834167        1.006       7444.8
1024                5      0.007666167      0.008001467      0.007920167      0.000349703      0.008410292        1.097       7486.5
2048                5      0.015262791      0.015557191      0.015296125      0.000608967      0.016645958        1.091       7452.5
4096                5      0.030791667      0.031110200      0.030814833      0.000666977      0.032303042        1.049       7517.5
8192                5      0.057136583      0.058306225      0.057353750      0.002280017      0.062381291        1.092       6974.7
16384               5      0.130771167      0.138076800      0.137710083      0.006902002      0.147979834        1.132       7981.6
32768               5      0.269449667      0.280448908      0.281048125      0.008807361      0.292868708        1.087       8223.0
65536               5      0.554288917      0.575156292      0.573057584      0.015146629      0.595922458        1.075       8457.8
131072              5      1.112941209      1.138669508      1.141229792      0.015945991      1.156534458        1.039       8491.1
262144              5      2.261142291      2.289684175      2.288596917      0.024703021      2.322795833        1.027       8625.6
524288              5      4.493106958      4.670655108      4.708410125      0.104800744      4.766706208        1.061       8569.9
1048576             5     10.990769291     11.706559625     11.761042583      0.465820158     12.232425417        1.113      10481.6
