# RSS was 2,431,197,184 now 1,539,801,088 diff: -891,396,096
# test_new_dict_map_int_str32() String length 1024
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000001167      0.000002875      0.000001458      0.000003334      0.000008833        7.569        583.5
4                   5      0.000002167      0.000003500      0.000002250      0.000002773      0.000008458        3.903        541.7
8                   5      0.000004541      0.000004742      0.000004667      0.000000259      0.000005167        1.138        567.6
16                  5      0.000010166      0.000010500      0.000010417      0.000000374      0.000011083        1.090        635.4
32                  5      0.000019750      0.000021150      0.000020167      0.000002508      0.000025625        1.297        617.2
64                  5      0.000039375      0.000057616      0.000039500      0.000040024      0.000129208        3.281        615.2
128                 5      0.000077500      0.000113459      0.000077959      0.000078943      0.000254667        3.286        605.5
256                 5      0.000154416      0.000235433      0.000155375      0.000179042      0.000555708        3.599        603.2
512                 5      0.000316708      0.000467375      0.000317625      0.000332555      0.001062250        3.354        618.6
1024                5      0.000668125      0.000735942      0.000670625      0.000129696      0.000966416        1.446        652.5
2048                5      0.001424000      0.001463275      0.001426500      0.000084433      0.001614292        1.134        695.3
4096                5      0.003020541      0.003118433      0.003045959      0.000163887      0.003407583        1.128        737.4
8192                5      0.014799625      0.015217750      0.015292750      0.000323928      0.015660125        1.058       1806.6
16384               5      0.045503208      0.046883767      0.045756875      0.001995560      0.050180375        1.103       2777.3
32768               5      0.093272166      0.096355525      0.093530583      0.005540994      0.106134792        1.138       2846.4
65536               5      0.203942833      0.211176475      0.204834458      0.011769461      0.231521041        1.135       3111.9
131072              5      0.393496417      0.450628158      0.448880916      0.038147952      0.494510750        1.257       3002.1
262144              5      0.780900250      0.899109900      0.875451542      0.154868661      1.163623042        1.490       2978.9
524288              5      2.835370792      3.159429134      2.953821875      0.356015222      3.636505500        1.283       5408.0
1048576             5      8.974193500      9.067283750      9.060107959      0.062729774      9.141902958        1.019       8558.5
