# RSS was 1,305,731,072 now 2,431,193,088 diff: +1,125,462,016
# test_new_dict_map_int_str32() String length 128
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000001084      0.000005158      0.000001125      0.000008788      0.000020875       19.257        542.0
4                   5      0.000001792      0.000005050      0.000001875      0.000007031      0.000017625        9.835        448.0
8                   5      0.000003500      0.000004025      0.000003625      0.000000920      0.000005666        1.619        437.5
16                  5      0.000006958      0.000007950      0.000007125      0.000001963      0.000011458        1.647        434.9
32                  5      0.000013458      0.000015467      0.000013584      0.000004144      0.000022875        1.700        420.6
64                  5      0.000026583      0.000029317      0.000026667      0.000005811      0.000039709        1.494        415.4
128                 5      0.000053167      0.000059000      0.000053500      0.000012440      0.000081250        1.528        415.4
256                 5      0.000106208      0.000117266      0.000106541      0.000024192      0.000160541        1.512        414.9
512                 5      0.000218000      0.000237075      0.000219709      0.000039588      0.000307875        1.412        425.8
1024                5      0.000447291      0.000520483      0.000449417      0.000156445      0.000800250        1.789        436.8
2048                5      0.000975250      0.001064459      0.000981459      0.000190220      0.001404667        1.440        476.2
4096                5      0.002521500      0.002687525      0.002696792      0.000107887      0.002824291        1.120        615.6
8192                5      0.005473500      0.005618883      0.005489834      0.000291791      0.006140500        1.122        668.2
16384               5      0.012182375      0.012471133      0.012375875      0.000302517      0.012933208        1.062        743.6
32768               5      0.025758709      0.026108234      0.025782667      0.000693535      0.027344667        1.062        786.1
65536               5      0.053150375      0.053933042      0.053414833      0.001424134      0.056468708        1.062        811.0
131072              5      0.116032000      0.118168917      0.117519791      0.001887020      0.121020583        1.043        885.3
262144              5      0.235079250      0.246888658      0.248833917      0.008359141      0.254944666        1.085        896.8
524288              5      0.479509667      0.516687800      0.525948750      0.021351367      0.531505042        1.108        914.6
1048576             5      0.992652292      1.040685967      1.062030084      0.041207886      1.077295042        1.085        946.7
