# RSS was 423,010,304 now 1,599,291,392 diff: +1,176,281,088
# test_new_dict_map_int_str32() String length 16
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000750      0.000004283      0.000000875      0.000007509      0.000017709       23.612        375.0
4                   5      0.000001292      0.000001417      0.000001375      0.000000172      0.000001708        1.322        323.0
8                   5      0.000002500      0.000002575      0.000002500      0.000000146      0.000002834        1.134        312.5
16                  5      0.000004833      0.000005167      0.000004958      0.000000522      0.000006084        1.259        302.1
32                  5      0.000009458      0.000010042      0.000009584      0.000001030      0.000011875        1.256        295.6
64                  5      0.000018875      0.000019992      0.000019000      0.000002177      0.000023875        1.265        294.9
128                 5      0.000037292      0.000038233      0.000037416      0.000001541      0.000040917        1.097        291.3
256                 5      0.000080209      0.000081567      0.000080625      0.000002136      0.000085292        1.063        313.3
512                 5      0.000165541      0.000168416      0.000168000      0.000003068      0.000173500        1.048        323.3
1024                5      0.000337542      0.000342050      0.000343542      0.000003999      0.000347125        1.028        329.6
2048                5      0.000680125      0.000689075      0.000689084      0.000008004      0.000700041        1.029        332.1
4096                5      0.001285584      0.001357492      0.001381416      0.000047101      0.001396416        1.086        313.9
8192                5      0.002696458      0.002702133      0.002698250      0.000010235      0.002720375        1.009        329.2
16384               5      0.005733292      0.005759883      0.005759000      0.000021486      0.005793125        1.010        349.9
32768               5      0.012226083      0.012272050      0.012280958      0.000032712      0.012310167        1.007        373.1
65536               5      0.027110542      0.028045984      0.028193834      0.000530791      0.028374250        1.047        413.7
131072              5      0.059203333      0.059556883      0.059367375      0.000519350      0.060462000        1.021        451.7
262144              5      0.123352250      0.130163367      0.133252875      0.005714177      0.135200500        1.096        470.6
524288              5      0.262008208      0.268810592      0.268327375      0.004542644      0.273938333        1.046        499.7
1048576             5      0.536472000      0.547697133      0.544405000      0.012131661      0.561406959        1.046        511.6
