# RSS was 1,881,698,304 now 3,726,860,288 diff: +1,845,161,984
# test_new_dict_map_int_str() String length 1024
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000001041      0.000002308      0.000001167      0.000002557      0.000006875        6.604        520.5
4                   5      0.000001833      0.000002017      0.000001958      0.000000210      0.000002375        1.296        458.3
8                   5      0.000003625      0.000003900      0.000003708      0.000000398      0.000004583        1.264        453.1
16                  5      0.000007375      0.000008908      0.000007541      0.000003083      0.000014417        1.955        460.9
32                  5      0.000015541      0.000015867      0.000015792      0.000000332      0.000016292        1.048        485.7
64                  5      0.000029750      0.000030400      0.000030125      0.000000613      0.000031208        1.049        464.8
128                 5      0.000059500      0.000060217      0.000060042      0.000000673      0.000061041        1.026        464.8
256                 5      0.000118166      0.000119600      0.000119292      0.000001519      0.000122083        1.033        461.6
512                 5      0.000245167      0.000278258      0.000276958      0.000036597      0.000334875        1.366        478.8
1024                5      0.000493584      0.000502550      0.000497750      0.000012145      0.000523333        1.060        482.0
2048                5      0.000997416      0.001060500      0.001001875      0.000132509      0.001297500        1.301        487.0
4096                5      0.002090792      0.002127883      0.002113500      0.000054018      0.002221125        1.062        510.4
8192                5      0.004612500      0.004668725      0.004630792      0.000090577      0.004829083        1.047        563.0
16384               5      0.010482666      0.010733583      0.010808709      0.000162292      0.010860875        1.036        639.8
32768               5      0.031911333      0.032635058      0.032137458      0.000879601      0.033598417        1.053        973.9
65536               5      0.086616834      0.094905308      0.090246375      0.011700524      0.115261791        1.331       1321.7
131072              5      0.181438208      0.188333125      0.183686375      0.012630225      0.210814625        1.162       1384.3
262144              5      0.368740208      0.384170292      0.379805792      0.017449204      0.409261375        1.110       1406.6
524288              5      0.789190709      0.810114833      0.802032333      0.022130501      0.845379250        1.071       1505.3
1048576             5      1.484707500      1.641021975      1.658158667      0.105610372      1.750479166        1.179       1415.9
