# RSS was 1,027,239,936 now 1,881,681,920 diff: +854,441,984
# test_new_dict_map_int_str() String length 128
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000792      0.000003917      0.000000916      0.000006801      0.000016083       20.307        396.0
4                   5      0.000001042      0.000001234      0.000001209      0.000000231      0.000001625        1.559        260.5
8                   5      0.000002084      0.000002325      0.000002250      0.000000217      0.000002667        1.280        260.5
16                  5      0.000004042      0.000004575      0.000004250      0.000000805      0.000006000        1.484        252.6
32                  5      0.000007875      0.000008683      0.000008167      0.000001442      0.000011250        1.429        246.1
64                  5      0.000015250      0.000015717      0.000015458      0.000000685      0.000016916        1.109        238.3
128                 5      0.000035791      0.000039117      0.000038167      0.000003166      0.000042917        1.199        279.6
256                 5      0.000070667      0.000072375      0.000071583      0.000001746      0.000075000        1.061        276.0
512                 5      0.000149750      0.000152967      0.000152625      0.000002695      0.000157125        1.049        292.5
1024                5      0.000304167      0.000314667      0.000315791      0.000007204      0.000324208        1.066        297.0
2048                5      0.000543500      0.000595200      0.000618958      0.000047270      0.000634916        1.168        265.4
4096                5      0.001100334      0.001107934      0.001106375      0.000007618      0.001120542        1.018        268.6
8192                5      0.002285666      0.002302908      0.002301750      0.000015695      0.002322917        1.016        279.0
16384               5      0.004838209      0.004913375      0.004927917      0.000073923      0.005015292        1.037        295.3
32768               5      0.011206541      0.011627192      0.011629375      0.000304224      0.012046750        1.075        342.0
65536               5      0.025270167      0.026036100      0.025984542      0.000517506      0.026685125        1.056        385.6
131072              5      0.056429667      0.056866133      0.056680041      0.000568895      0.057846542        1.025        430.5
262144              5      0.116992708      0.124657900      0.126005417      0.004408686      0.128353125        1.097        446.3
524288              5      0.250173125      0.253360050      0.252088458      0.003484256      0.257529125        1.029        477.2
1048576             5      0.505799000      0.513192017      0.511158875      0.007710675      0.524215667        1.036        482.4
