# RSS was 263,839,744 now 874,156,032 diff: +610,316,288
# test_new_dict_map_int_str() String length 16
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000625      0.000005775      0.000000709      0.000011214      0.000025833       41.334        312.5
4                   5      0.000000958      0.000001058      0.000001042      0.000000137      0.000001292        1.349        239.5
8                   5      0.000001583      0.000001842      0.000001834      0.000000175      0.000002042        1.290        197.9
16                  5      0.000003209      0.000003358      0.000003250      0.000000244      0.000003792        1.182        200.6
32                  5      0.000006084      0.000007700      0.000006250      0.000003383      0.000013750        2.260        190.1
64                  5      0.000011750      0.000012050      0.000011833      0.000000452      0.000012833        1.092        183.6
128                 5      0.000023458      0.000024916      0.000023666      0.000001865      0.000027000        1.151        183.3
256                 5      0.000045833      0.000047558      0.000046041      0.000003272      0.000053375        1.165        179.0
512                 5      0.000101917      0.000107459      0.000102625      0.000010677      0.000126500        1.241        199.1
1024                5      0.000215583      0.000227308      0.000218792      0.000020908      0.000264625        1.227        210.5
2048                5      0.000442084      0.000463542      0.000447667      0.000036827      0.000529084        1.197        215.9
4096                5      0.000900250      0.000939400      0.000911000      0.000071864      0.001067708        1.186        219.8
8192                5      0.001908209      0.002006234      0.001937000      0.000169279      0.002307917        1.209        232.9
16384               5      0.003960625      0.004109450      0.003981750      0.000304886      0.004654459        1.175        241.7
32768               5      0.008672375      0.008994742      0.008790792      0.000577460      0.010021333        1.156        264.7
65536               5      0.018569750      0.019075941      0.018644791      0.001022089      0.020903042        1.126        283.4
131072              5      0.038424750      0.041809716      0.040115291      0.004849375      0.050172666        1.306        293.2
262144              5      0.084288292      0.086951542      0.085648416      0.003718869      0.093518375        1.110        321.5
524288              5      0.189378167      0.200230800      0.193329333      0.017554914      0.231044125        1.220        361.2
1048576             5      0.395576209      0.442841025      0.426390125      0.039780243      0.488024333        1.234        377.3
