# RSS was 1,553,289,216 now 1,027,555,328 diff: -525,733,888
# test_new_dict_map_str_str() String length 1024
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000002417      0.000003675      0.000002625      0.000002513      0.000008166        3.379       1208.5
4                   5      0.000004833      0.000005225      0.000005166      0.000000487      0.000006042        1.250       1208.3
8                   5      0.000010084      0.000010883      0.000010333      0.000001344      0.000013250        1.314       1260.5
16                  5      0.000020792      0.000025108      0.000021125      0.000008888      0.000041000        1.972       1299.5
32                  5      0.000044000      0.000050217      0.000044375      0.000013135      0.000073709        1.675       1375.0
64                  5      0.000089625      0.000101825      0.000090625      0.000024966      0.000146459        1.634       1400.4
128                 5      0.000184417      0.000207942      0.000186167      0.000049259      0.000296042        1.605       1440.8
256                 5      0.000377458      0.000426608      0.000378917      0.000107181      0.000618333        1.638       1474.4
512                 5      0.000761875      0.000864800      0.000766750      0.000203844      0.001228000        1.612       1488.0
1024                5      0.001581417      0.001748875      0.001612875      0.000321246      0.002323000        1.469       1544.4
2048                5      0.003346042      0.003390308      0.003369791      0.000060008      0.003492791        1.044       1633.8
4096                5      0.007156042      0.007221567      0.007230042      0.000038975      0.007253041        1.014       1747.1
8192                5      0.014899625      0.015053367      0.015041208      0.000161545      0.015319500        1.028       1818.8
16384               5      0.045424042      0.046704558      0.045721834      0.001672764      0.049202083        1.083       2772.5
32768               5      0.110470083      0.112595325      0.111879750      0.002476657      0.116447333        1.054       3371.3
65536               5      0.225573833      0.229524017      0.226694875      0.006357767      0.240621334        1.067       3442.0
131072              5      0.452945292      0.467569025      0.470220000      0.013206048      0.486245334        1.074       3455.7
262144              5      0.922024125      0.951715750      0.946422750      0.028213205      0.997795625        1.082       3517.2
524288              5      1.941079208      2.241662417      2.179015292      0.359899699      2.845121375        1.466       3702.3
1048576             5      9.178242417      9.311388508      9.270123500      0.147434481      9.547245333        1.040       8753.1
