# RSS was 994,447,360 now 1,560,174,592 diff: +565,727,232
# test_new_dict_map_str_str() String length 128
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000958      0.000005700      0.000000958      0.000010533      0.000024542       25.618        479.0
4                   5      0.000001792      0.000001892      0.000001833      0.000000140      0.000002125        1.186        448.0
8                   5      0.000003625      0.000003817      0.000003750      0.000000248      0.000004250        1.172        453.1
16                  5      0.000007416      0.000007958      0.000007459      0.000001097      0.000009917        1.337        463.5
32                  5      0.000015625      0.000016350      0.000015709      0.000001311      0.000018666        1.195        488.3
64                  5      0.000036292      0.000037567      0.000036708      0.000002095      0.000041250        1.137        567.1
128                 5      0.000075291      0.000077667      0.000076833      0.000002029      0.000079875        1.061        588.2
256                 5      0.000156250      0.000158400      0.000157709      0.000002461      0.000162541        1.040        610.4
512                 5      0.000328833      0.000333008      0.000332875      0.000003868      0.000338583        1.030        642.3
1024                5      0.000612333      0.000642108      0.000615333      0.000039377      0.000691375        1.129        598.0
2048                5      0.001267500      0.001274983      0.001273250      0.000008279      0.001289166        1.017        618.9
4096                5      0.002566584      0.002583359      0.002581542      0.000014030      0.002605500        1.015        626.6
8192                5      0.005413125      0.005481475      0.005477250      0.000077830      0.005610334        1.036        660.8
16384               5      0.011721333      0.011956375      0.012004209      0.000132190      0.012032500        1.027        715.4
32768               5      0.025334917      0.026173792      0.025963500      0.000683263      0.026926666        1.063        773.2
65536               5      0.050953625      0.054080650      0.055384042      0.002463873      0.056293000        1.105        777.5
131072              5      0.122160875      0.125448883      0.125113375      0.002721235      0.129735416        1.062        932.0
262144              5      0.241673333      0.247860958      0.249589041      0.005780285      0.255036792        1.055        921.9
524288              5      0.505781958      0.509099642      0.509651125      0.002353280      0.512183167        1.013        964.7
1048576             5      1.063090333      1.076250783      1.077644791      0.008728998      1.086972417        1.022       1013.8
