# RSS was 358,424,576 now 983,724,032 diff: +625,299,456
# test_new_dict_map_str_str() String length 16
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000666      0.000002833      0.000000792      0.000004110      0.000010125       15.202        333.0
4                   5      0.000001125      0.000001267      0.000001250      0.000000158      0.000001500        1.333        281.2
8                   5      0.000002333      0.000002534      0.000002459      0.000000223      0.000002917        1.250        291.6
16                  5      0.000004792      0.000005167      0.000005084      0.000000464      0.000005958        1.243        299.5
32                  5      0.000010250      0.000011083      0.000010500      0.000001278      0.000013333        1.301        320.3
64                  5      0.000021708      0.000022917      0.000022209      0.000001775      0.000026042        1.200        339.2
128                 5      0.000045750      0.000049633      0.000046708      0.000006806      0.000061750        1.350        357.4
256                 5      0.000098042      0.000102617      0.000098625      0.000008857      0.000118417        1.208        383.0
512                 5      0.000203916      0.000211208      0.000205000      0.000013061      0.000234416        1.150        398.3
1024                5      0.000426500      0.000439358      0.000427791      0.000024536      0.000483041        1.133        416.5
2048                5      0.000857667      0.000882717      0.000859875      0.000050969      0.000973792        1.135        418.8
4096                5      0.001693917      0.001741675      0.001699916      0.000093043      0.001907708        1.126        413.6
8192                5      0.003481417      0.003569008      0.003484375      0.000189520      0.003908000        1.123        425.0
16384               5      0.007047500      0.007236092      0.007068917      0.000353516      0.007865208        1.116        430.1
32768               5      0.014550917      0.015015342      0.014586875      0.000840721      0.016503792        1.134        444.1
65536               5      0.031578250      0.032106325      0.031711166      0.000969947      0.033833916        1.071        481.8
131072              5      0.066045042      0.067679784      0.066377334      0.002992786      0.073006209        1.105        503.9
262144              5      0.146688333      0.150466641      0.150057083      0.003239203      0.155236500        1.058        559.6
524288              5      0.309532375      0.315368625      0.316096667      0.004998102      0.322522833        1.042        590.4
1048576             5      0.684175709      0.698389383      0.692351958      0.019173313      0.732005833        1.070        652.5
