# RSS was 2,243,977,216 now 1,360,662,528 diff: -883,314,688
# test_new_dict_unordered_map_bytes_bytes() Byte length 1024
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000002750      0.000004267      0.000002834      0.000003137      0.000009875        3.591       1375.0
4                   5      0.000004541      0.000004950      0.000004708      0.000000708      0.000006209        1.367       1135.3
8                   5      0.000009375      0.000009958      0.000009625      0.000000823      0.000011375        1.213       1171.9
16                  5      0.000018875      0.000020833      0.000019167      0.000003739      0.000027500        1.457       1179.7
32                  5      0.000039417      0.000040142      0.000039792      0.000000861      0.000041583        1.055       1231.8
64                  5      0.000076167      0.000078467      0.000076459      0.000004198      0.000085917        1.128       1190.1
128                 5      0.000151167      0.000152525      0.000152250      0.000001254      0.000154583        1.023       1181.0
256                 5      0.000296667      0.000299617      0.000297833      0.000004627      0.000307750        1.037       1158.9
512                 5      0.000594875      0.000602700      0.000603417      0.000008139      0.000614500        1.033       1161.9
1024                5      0.001174958      0.001197666      0.001184583      0.000033825      0.001256125        1.069       1147.4
2048                5      0.002523042      0.002548125      0.002554250      0.000022566      0.002569542        1.018       1232.0
4096                5      0.005438667      0.005508817      0.005457541      0.000098132      0.005668709        1.042       1327.8
8192                5      0.012619875      0.012989025      0.012950292      0.000263739      0.013338417        1.057       1540.5
16384               5      0.033885875      0.035080316      0.034631250      0.001287402      0.037081875        1.094       2068.2
32768               5      0.088340125      0.093054350      0.094160208      0.003519594      0.096983792        1.098       2695.9
65536               5      0.181414834      0.187081708      0.182235875      0.008734801      0.201953333        1.113       2768.2
131072              5      0.385513000      0.405307808      0.407126958      0.018990309      0.429788792        1.115       2941.2
262144              5      0.838364750      0.870518550      0.863244167      0.028439847      0.910084042        1.086       3198.1
524288              5      1.744459333      2.211643408      2.208612167      0.328931552      2.630946208        1.508       3327.3
1048576             5      6.808828917      7.010414475      6.916891833      0.288743524      7.518607416        1.104       6493.4
