# RSS was 1,531,453,440 now 2,243,964,928 diff: +712,511,488
# test_new_dict_unordered_map_bytes_bytes() Byte length 128
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000959      0.000002517      0.000001042      0.000003322      0.000008458        8.820        479.5
4                   5      0.000001958      0.000002317      0.000002167      0.000000578      0.000003334        1.703        489.5
8                   5      0.000003500      0.000003825      0.000003584      0.000000570      0.000004833        1.381        437.5
16                  5      0.000007000      0.000007567      0.000007084      0.000001038      0.000009417        1.345        437.5
32                  5      0.000013541      0.000015300      0.000013709      0.000003584      0.000021708        1.603        423.2
64                  5      0.000026000      0.000026933      0.000026333      0.000001615      0.000029792        1.146        406.2
128                 5      0.000052292      0.000057384      0.000052417      0.000006897      0.000065125        1.245        408.5
256                 5      0.000101500      0.000104517      0.000102292      0.000004923      0.000113209        1.115        396.5
512                 5      0.000204458      0.000210817      0.000206125      0.000011019      0.000230334        1.127        399.3
1024                5      0.000407709      0.000419533      0.000411125      0.000022186      0.000459125        1.126        398.2
2048                5      0.000811750      0.000834608      0.000816416      0.000043105      0.000911583        1.123        396.4
4096                5      0.001636334      0.001685617      0.001652709      0.000082287      0.001832209        1.120        399.5
8192                5      0.003332917      0.003431233      0.003378833      0.000160222      0.003714167        1.114        406.9
16384               5      0.006951625      0.007195900      0.007121000      0.000315870      0.007738708        1.113        424.3
32768               5      0.017977875      0.019059658      0.019421708      0.000847640      0.019903917        1.107        548.6
65536               5      0.046264292      0.047794883      0.047921875      0.001043599      0.049195166        1.063        705.9
131072              5      0.100691541      0.108467908      0.110294625      0.004952328      0.113627459        1.128        768.2
262144              5      0.224585792      0.226592117      0.225354500      0.002867952      0.231636875        1.031        856.7
524288              5      0.507257917      0.519928450      0.520228000      0.011023003      0.536849833        1.058        967.5
1048576             5      1.113853875      1.126968033      1.116604041      0.018026115      1.156340625        1.038       1062.3
