# test_new_dict_unordered_map_complex_complex()
# RSS was 900,702,208 now 1,163,313,152 diff: +262,610,944
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000750      0.000206517      0.000000834      0.000459666      0.001028792     1371.819        375.0
4                   5      0.000001209      0.000001450      0.000001250      0.000000405      0.000002167        1.792        302.2
8                   5      0.000002333      0.000002617      0.000002458      0.000000412      0.000003334        1.429        291.6
16                  5      0.000004500      0.000005050      0.000004542      0.000001048      0.000006917        1.537        281.3
32                  5      0.000008375      0.000008700      0.000008500      0.000000500      0.000009584        1.144        261.7
64                  5      0.000015917      0.000016350      0.000016084      0.000000622      0.000017416        1.094        248.7
128                 5      0.000031250      0.000032267      0.000032000      0.000001218      0.000034291        1.097        244.1
256                 5      0.000060625      0.000063825      0.000061833      0.000004440      0.000071250        1.175        236.8
512                 5      0.000120875      0.000123316      0.000121458      0.000003529      0.000129333        1.070        236.1
1024                5      0.000249000      0.000253467      0.000251292      0.000005265      0.000262375        1.054        243.2
2048                5      0.000505917      0.000509908      0.000506083      0.000005890      0.000519250        1.026        247.0
4096                5      0.000950666      0.000959942      0.000955208      0.000012354      0.000980708        1.032        232.1
8192                5      0.001890959      0.001902759      0.001895209      0.000019946      0.001938042        1.025        230.8
16384               5      0.003816250      0.003822825      0.003823250      0.000006688      0.003832875        1.004        232.9
32768               5      0.007754625      0.007767442      0.007767875      0.000009802      0.007777625        1.003        236.7
65536               5      0.015583625      0.015731967      0.015737667      0.000129790      0.015926042        1.022        237.8
131072              5      0.035031208      0.036582883      0.036767000      0.000955145      0.037388542        1.067        267.3
262144              5      0.072146250      0.074987717      0.076299000      0.002278716      0.077088459        1.069        275.2
524288              5      0.166388875      0.170789867      0.168889958      0.005148042      0.179409833        1.078        317.4
1048576             5      0.379958917      0.400298625      0.394771541      0.018083265      0.427722833        1.126        362.4
