# test_new_dict_unordered_map_float_float()
# RSS was 268,226,560 now 348,119,040 diff: 79,892,480
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000707      0.000114510      0.000000828      0.000254078      0.000569018      804.835        353.5
4                   5      0.000001118      0.000001500      0.000001221      0.000000634      0.000002626        2.349        279.5
8                   5      0.000002035      0.000002519      0.000002173      0.000000820      0.000003978        1.955        254.4
16                  5      0.000003604      0.000004199      0.000003908      0.000000884      0.000005762        1.599        225.2
32                  5      0.000007142      0.000007889      0.000007204      0.000001379      0.000010334        1.447        223.2
64                  5      0.000013500      0.000014409      0.000013862      0.000001400      0.000016867        1.249        210.9
128                 5      0.000027667      0.000028972      0.000028298      0.000001871      0.000032208        1.164        216.1
256                 5      0.000055267      0.000056928      0.000055653      0.000002822      0.000061910        1.120        215.9
512                 5      0.000111434      0.000114037      0.000112835      0.000003875      0.000120846        1.084        217.6
1024                5      0.000219501      0.000229967      0.000220225      0.000020115      0.000265774        1.211        214.4
2048                5      0.000433721      0.000458313      0.000439714      0.000030340      0.000502485        1.159        211.8
4096                5      0.000859236      0.001049074      0.000892171      0.000366108      0.001703274        1.982        209.8
8192                5      0.001789774      0.001836373      0.001819430      0.000066228      0.001951610        1.090        218.5
16384               5      0.003786115      0.004464941      0.004543627      0.000407733      0.004786856        1.264        231.1
32768               5      0.007321443      0.007623520      0.007574797      0.000393104      0.008286357        1.132        223.4
65536               5      0.014945477      0.015371422      0.015393973      0.000394344      0.015910784        1.065        228.0
131072              5      0.033583270      0.034492390      0.033993693      0.001329436      0.036800758        1.096        256.2
262144              5      0.085919440      0.086464596      0.086048452      0.001010225      0.088267883        1.027        327.8
524288              5      0.191545308      0.194545648      0.193471744      0.003500500      0.199905143        1.044        365.3
1048576             5      0.437913692      0.442062014      0.440808212      0.004221946      0.447325080        1.021        417.6
