# test_new_dict_unordered_map_int_int()
# RSS was 277,889,024 now 699,539,456 diff: +421,650,432
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000459      0.000003609      0.000000584      0.000006674      0.000015541       33.859        229.5
4                   5      0.000000750      0.000000983      0.000000750      0.000000499      0.000001875        2.500        187.5
8                   5      0.000001250      0.000002358      0.000001334      0.000002316      0.000006500        5.200        156.2
16                  5      0.000002291      0.000003408      0.000002292      0.000002405      0.000007709        3.365        143.2
32                  5      0.000004000      0.000004450      0.000004000      0.000000916      0.000006084        1.521        125.0
64                  5      0.000007208      0.000007308      0.000007250      0.000000178      0.000007625        1.058        112.6
128                 5      0.000013167      0.000013384      0.000013250      0.000000252      0.000013750        1.044        102.9
256                 5      0.000024958      0.000025358      0.000025041      0.000000639      0.000026459        1.060         97.5
512                 5      0.000056167      0.000058417      0.000056208      0.000004823      0.000067042        1.194        109.7
1024                5      0.000123000      0.000131483      0.000123416      0.000014357      0.000156334        1.271        120.1
2048                5      0.000257459      0.000269467      0.000258417      0.000025458      0.000315000        1.223        125.7
4096                5      0.000526208      0.000547858      0.000527875      0.000043863      0.000626250        1.190        128.5
8192                5      0.001051792      0.001108042      0.001067167      0.000100720      0.001287833        1.224        128.4
16384               5      0.002005417      0.002096892      0.002006917      0.000201961      0.002458166        1.226        122.4
32768               5      0.004002625      0.004213275      0.004041125      0.000408421      0.004943292        1.235        122.2
65536               5      0.008137250      0.008532600      0.008172833      0.000812437      0.009985375        1.227        124.2
131072              5      0.018118417      0.019312650      0.018395083      0.001661311      0.022000042        1.214        138.2
262144              5      0.033381666      0.035201325      0.033954250      0.003403038      0.041266084        1.236        127.3
524288              5      0.075237459      0.077350400      0.075781917      0.003711579      0.083969083        1.116        143.5
1048576             5      0.156702625      0.159284125      0.158142209      0.003662519      0.165680834        1.057        149.4
