# RSS was 1,728,200,704 now 2,097,225,728 diff: +369,025,024
# test_new_dict_unordered_map_int_str16() String length 128
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000002041      0.000006541      0.000002083      0.000009946      0.000024333       11.922       1020.5
4                   5      0.000003958      0.000227308      0.000004166      0.000386470      0.000896542      226.514        989.5
8                   5      0.000007667      0.000009017      0.000007750      0.000002833      0.000014083        1.837        958.4
16                  5      0.000015209      0.000016167      0.000015416      0.000001778      0.000019333        1.271        950.6
32                  5      0.000029583      0.000032309      0.000029667      0.000005839      0.000042750        1.445        924.5
64                  5      0.000058041      0.000058758      0.000058208      0.000001067      0.000060583        1.044        906.9
128                 5      0.000115000      0.000116717      0.000115125      0.000003538      0.000123041        1.070        898.4
256                 5      0.000228750      0.000231558      0.000229333      0.000005022      0.000240500        1.051        893.6
512                 5      0.000460958      0.000514692      0.000461333      0.000118525      0.000726709        1.577        900.3
1024                5      0.000923500      0.000934467      0.000925209      0.000019018      0.000968000        1.048        901.9
2048                5      0.001847792      0.001865734      0.001850334      0.000035265      0.001928709        1.044        902.2
4096                5      0.003694416      0.003782325      0.003703000      0.000185536      0.004114125        1.114        902.0
8192                5      0.007620917      0.007651725      0.007630208      0.000048381      0.007737333        1.015        930.3
16384               5      0.015810041      0.015922450      0.015932791      0.000097595      0.016050917        1.015        965.0
32768               5      0.033977666      0.034767575      0.034517584      0.000718340      0.035650917        1.049       1036.9
65536               5      0.072589375      0.073761991      0.072754791      0.001478955      0.075406916        1.039       1107.6
131072              5      0.156200750      0.159655083      0.158682292      0.003466196      0.164860417        1.055       1191.7
262144              5      0.316084667      0.320279725      0.319318042      0.003273800      0.324172125        1.026       1205.8
524288              5      0.631634084      0.636166092      0.636544917      0.002919006      0.639792292        1.013       1204.7
1048576             5      1.263654083      1.271871600      1.265502667      0.010762072      1.288170292        1.019       1205.1
