# RSS was 1,474,658,304 now 2,533,392,384 diff: +1,058,734,080
# test_new_dict_unordered_map_int_str32() String length 128
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000001125      0.000008525      0.000001166      0.000016454      0.000037959       33.742        562.5
4                   5      0.000002041      0.000006633      0.000002083      0.000010128      0.000024750       12.126        510.2
8                   5      0.000003834      0.000005992      0.000005208      0.000003010      0.000011167        2.913        479.3
16                  5      0.000007125      0.000009233      0.000007208      0.000004482      0.000017250        2.421        445.3
32                  5      0.000013333      0.000015067      0.000013417      0.000003644      0.000021584        1.619        416.7
64                  5      0.000025875      0.000029000      0.000026041      0.000006617      0.000040834        1.578        404.3
128                 5      0.000051167      0.000057008      0.000051208      0.000012877      0.000080042        1.564        399.7
256                 5      0.000100834      0.000113217      0.000100959      0.000024167      0.000156166        1.549        393.9
512                 5      0.000206833      0.000229075      0.000207333      0.000048827      0.000316417        1.530        404.0
1024                5      0.000419042      0.000468225      0.000421458      0.000106000      0.000657833        1.570        409.2
2048                5      0.001000208      0.001063400      0.001002958      0.000134806      0.001304500        1.304        488.4
4096                5      0.002441333      0.002560050      0.002519375      0.000165223      0.002849000        1.167        596.0
8192                5      0.005316583      0.005493708      0.005348833      0.000305422      0.006033500        1.135        649.0
16384               5      0.011477041      0.011795850      0.011538167      0.000573526      0.012816667        1.117        700.5
32768               5      0.025018750      0.025563383      0.025204541      0.000930184      0.027218916        1.088        763.5
65536               5      0.051169375      0.053920833      0.053592625      0.002088441      0.056110666        1.097        780.8
131072              5      0.109780292      0.111054933      0.110563291      0.001855728      0.114300208        1.041        837.6
262144              5      0.215645167      0.219853275      0.216861959      0.006445479      0.231033042        1.071        822.6
524288              5      0.439302458      0.454494233      0.447937833      0.017384937      0.478353750        1.089        837.9
1048576             5      0.897674792      0.931451433      0.934913708      0.030679901      0.967214041        1.077        856.1
