# RSS was 418,918,400 now 1,406,435,328 diff: +987,516,928
# test_new_dict_unordered_map_int_str32() String length 16
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000667      0.000006700      0.000000791      0.000013005      0.000029959       44.916        333.5
4                   5      0.000001250      0.000001642      0.000001333      0.000000739      0.000002958        2.366        312.5
8                   5      0.000002250      0.000002808      0.000002375      0.000001063      0.000004708        2.092        281.3
16                  5      0.000004125      0.000004692      0.000004250      0.000001083      0.000006625        1.606        257.8
32                  5      0.000007625      0.000008367      0.000007667      0.000001521      0.000011083        1.454        238.3
64                  5      0.000014458      0.000017025      0.000014708      0.000005346      0.000026584        1.839        225.9
128                 5      0.000027875      0.000028467      0.000028000      0.000001073      0.000030375        1.090        217.8
256                 5      0.000059583      0.000060617      0.000059833      0.000001472      0.000063125        1.059        232.7
512                 5      0.000126209      0.000129850      0.000129833      0.000003118      0.000134666        1.067        246.5
1024                5      0.000265083      0.000369050      0.000267042      0.000228663      0.000778083        2.935        258.9
2048                5      0.000507333      0.000513825      0.000510500      0.000008899      0.000529250        1.043        247.7
4096                5      0.001016916      0.001028575      0.001026208      0.000014080      0.001051916        1.034        248.3
8192                5      0.001903625      0.002015816      0.002058375      0.000097393      0.002125541        1.117        232.4
16384               5      0.003778208      0.003824875      0.003789083      0.000087310      0.003980791        1.054        230.6
32768               5      0.007689583      0.007787508      0.007771667      0.000104289      0.007944375        1.033        234.7
65536               5      0.016276667      0.017347458      0.017518416      0.000623829      0.017912750        1.101        248.4
131072              5      0.036093042      0.036774325      0.036277666      0.000972474      0.038439000        1.065        275.4
262144              5      0.081941792      0.083477417      0.083081541      0.001674900      0.086005125        1.050        312.6
524288              5      0.155389625      0.160087000      0.155482291      0.008362574      0.174739583        1.125        296.4
1048576             5      0.318039250      0.324894433      0.325393500      0.006408080      0.332691583        1.046        303.3
