# RSS was 1,519,558,656 now 3,423,670,272 diff: +1,904,111,616
# test_new_dict_unordered_map_int_str() String length 1024
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000001083      0.000002992      0.000001167      0.000004128      0.000010375        9.580        541.5
4                   5      0.000002000      0.000002250      0.000002083      0.000000401      0.000002958        1.479        500.0
8                   5      0.000003792      0.000004083      0.000003917      0.000000492      0.000004958        1.307        474.0
16                  5      0.000007458      0.000008000      0.000007625      0.000000982      0.000009750        1.307        466.1
32                  5      0.000015375      0.000015508      0.000015459      0.000000126      0.000015708        1.022        480.5
64                  5      0.000028917      0.000031075      0.000029042      0.000004259      0.000038667        1.337        451.8
128                 5      0.000057459      0.000057942      0.000057583      0.000000599      0.000058750        1.022        448.9
256                 5      0.000113208      0.000113708      0.000113500      0.000000577      0.000114667        1.013        442.2
512                 5      0.000231125      0.000234117      0.000235375      0.000002413      0.000236375        1.023        451.4
1024                5      0.000461583      0.000487950      0.000463125      0.000055712      0.000587583        1.273        450.8
2048                5      0.000947167      0.001085542      0.000948500      0.000306041      0.001633000        1.724        462.5
4096                5      0.001983208      0.002041300      0.002020750      0.000072405      0.002158292        1.088        484.2
8192                5      0.004427250      0.004449092      0.004442125      0.000020226      0.004471834        1.010        540.4
16384               5      0.009840792      0.010081683      0.010074792      0.000181148      0.010347375        1.051        600.6
32768               5      0.033950916      0.034233108      0.033986791      0.000507468      0.035129708        1.035       1036.1
65536               5      0.079597583      0.081846167      0.081007250      0.002250806      0.085547583        1.075       1214.6
131072              5      0.167040458      0.170444867      0.168557667      0.005091715      0.179475209        1.074       1274.4
262144              5      0.334351458      0.356366983      0.359161791      0.013884324      0.372283750        1.113       1275.4
524288              5      0.678050375      0.717429758      0.698317125      0.037887768      0.770700333        1.137       1293.3
1048576             5      1.445752584      1.503106250      1.468544875      0.060212547      1.585563416        1.097       1378.8
