# RSS was 751,837,184 now 1,408,442,368 diff: +656,605,184
# test_new_dict_unordered_map_int_str() String length 128
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000750      0.000005200      0.000000792      0.000009788      0.000022708       30.277        375.0
4                   5      0.000001209      0.000001367      0.000001250      0.000000263      0.000001834        1.517        302.3
8                   5      0.000002291      0.000002517      0.000002334      0.000000435      0.000003292        1.437        286.4
16                  5      0.000004333      0.000004808      0.000004375      0.000000844      0.000006291        1.452        270.8
32                  5      0.000007917      0.000008559      0.000008042      0.000001184      0.000010667        1.347        247.4
64                  5      0.000015083      0.000015458      0.000015166      0.000000657      0.000016625        1.102        235.7
128                 5      0.000034208      0.000035892      0.000035250      0.000001866      0.000038708        1.132        267.2
256                 5      0.000068166      0.000071483      0.000070458      0.000003682      0.000077750        1.141        266.3
512                 5      0.000140917      0.000144567      0.000144625      0.000002576      0.000148042        1.051        275.2
1024                5      0.000292916      0.000296392      0.000295542      0.000002695      0.000299750        1.023        286.1
2048                5      0.000490208      0.000548067      0.000575000      0.000052408      0.000596500        1.217        239.4
4096                5      0.000981750      0.000986900      0.000984125      0.000008651      0.001002208        1.021        239.7
8192                5      0.001959959      0.001979500      0.001976750      0.000018946      0.002010583        1.026        239.3
16384               5      0.003940708      0.004007833      0.004015416      0.000064384      0.004101708        1.041        240.5
32768               5      0.009014334      0.009788875      0.009540125      0.000906936      0.011362250        1.260        275.1
65536               5      0.019453750      0.020042667      0.020018334      0.000490523      0.020767375        1.068        296.8
131072              5      0.045719584      0.048485084      0.047636042      0.002959312      0.053201500        1.164        348.8
262144              5      0.094061125      0.105353084      0.110707334      0.009612025      0.114469042        1.217        358.8
524288              5      0.164323958      0.174447108      0.167418000      0.015792132      0.201999625        1.229        313.4
1048576             5      0.344601291      0.350697508      0.351171083      0.004429535      0.356698958        1.035        328.6
