# RSS was 241,479,680 now 823,226,368 diff: +581,746,688
# test_new_dict_unordered_map_int_str() String length 16
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000709      0.000005650      0.000000792      0.000010385      0.000024208       34.144        354.5
4                   5      0.000001166      0.000001375      0.000001292      0.000000332      0.000001958        1.679        291.5
8                   5      0.000001916      0.000003000      0.000002167      0.000002077      0.000006709        3.502        239.5
16                  5      0.000003625      0.000004634      0.000003709      0.000002070      0.000008334        2.299        226.6
32                  5      0.000006333      0.000007067      0.000006500      0.000001385      0.000009542        1.507        197.9
64                  5      0.000011792      0.000012575      0.000011834      0.000001568      0.000015375        1.304        184.2
128                 5      0.000022625      0.000024075      0.000022750      0.000002989      0.000029416        1.300        176.8
256                 5      0.000043750      0.000045258      0.000043792      0.000003165      0.000050917        1.164        170.9
512                 5      0.000094292      0.000100934      0.000097334      0.000009879      0.000118167        1.253        184.2
1024                5      0.000195333      0.000207966      0.000197291      0.000024911      0.000252500        1.293        190.8
2048                5      0.000394959      0.000418125      0.000400458      0.000039106      0.000487459        1.234        192.9
4096                5      0.000799625      0.000909525      0.000820083      0.000213175      0.001290542        1.614        195.2
8192                5      0.001582958      0.001669550      0.001590375      0.000166890      0.001967125        1.243        193.2
16384               5      0.003161459      0.003397959      0.003185459      0.000486740      0.004268125        1.350        193.0
32768               5      0.005995208      0.006502825      0.006038458      0.000841986      0.007956166        1.327        183.0
65536               5      0.012098042      0.012861100      0.012302291      0.001266994      0.015112542        1.249        184.6
131072              5      0.024517084      0.025933825      0.024886417      0.002645632      0.030658250        1.250        187.1
262144              5      0.057929792      0.059399567      0.058297000      0.002553139      0.063945083        1.104        221.0
524288              5      0.115699125      0.120562258      0.119676750      0.005740681      0.130372542        1.127        220.7
1048576             5      0.236786417      0.243683367      0.237845375      0.012975735      0.266765708        1.127        225.8
