# RSS was 655,880,192 now 4,381,171,712 diff: 3,725,291,520
# test_new_dict_unordered_map_str_str() String length 1024
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000003721      0.000005574      0.000003882      0.000003662      0.000012108        3.254       1860.5
4                   5      0.000007269      0.000007997      0.000007640      0.000000862      0.000009386        1.291       1817.2
8                   5      0.000014966      0.000016038      0.000015434      0.000001363      0.000018229        1.218       1870.7
16                  5      0.000030284      0.000031795      0.000031047      0.000001759      0.000034538        1.140       1892.7
32                  5      0.000065793      0.000067046      0.000067105      0.000001253      0.000068558        1.042       2056.0
64                  5      0.000117706      0.000137866      0.000120429      0.000031077      0.000190362        1.617       1839.2
128                 5      0.000231070      0.000254502      0.000249583      0.000024920      0.000286647        1.241       1805.2
256                 5      0.000444500      0.000471375      0.000461980      0.000029140      0.000507765        1.142       1736.3
512                 5      0.000818694      0.000885946      0.000855684      0.000065378      0.000977961        1.195       1599.0
1024                5      0.002494615      0.002954383      0.002572422      0.000850993      0.004467982        1.791       2436.1
2048                5      0.005761006      0.006517271      0.006039036      0.000865265      0.007725821        1.341       2813.0
4096                5      0.012113978      0.013278925      0.012214995      0.001786103      0.016252084        1.342       2957.5
8192                5      0.031831053      0.034292213      0.035379811      0.001992920      0.036110727        1.134       3885.6
16384               5      0.066515916      0.072030699      0.070435273      0.004829794      0.079203470        1.191       4059.8
32768               5      0.170805380      0.185909621      0.187960798      0.008716827      0.193189544        1.131       5212.6
65536               5      0.386552044      0.408310745      0.413307117      0.012989433      0.420199692        1.087       5898.3
131072              5      0.849644826      0.937600600      0.918948249      0.090375247      1.049013221        1.235       6482.3
262144              5      1.677818374      1.864074335      1.866732033      0.199674815      2.185805124        1.303       6400.4
524288              5      3.666605016      3.917576618      3.820820120      0.231777998      4.254911892        1.160       6993.5
1048576             5     10.644445323     13.476145133     13.190837086      2.837100594     17.949421069        1.686      10151.3
