# RSS was 425,152,512 now 655,880,192 diff: 230,727,680
# test_new_dict_unordered_map_str_str() String length 128
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000001539      0.000003191      0.000001660      0.000003380      0.000009228        5.996        769.5
4                   5      0.000003146      0.000003577      0.000003272      0.000000639      0.000004663        1.482        786.5
8                   5      0.000005927      0.000006389      0.000006163      0.000000565      0.000007310        1.233        740.9
16                  5      0.000011543      0.000012241      0.000011846      0.000000996      0.000013933        1.207        721.4
32                  5      0.000022796      0.000023784      0.000023145      0.000001265      0.000025830        1.133        712.4
64                  5      0.000044638      0.000046281      0.000045666      0.000001933      0.000049348        1.106        697.5
128                 5      0.000090213      0.000092538      0.000090698      0.000003334      0.000098028        1.087        704.8
256                 5      0.000174539      0.000181602      0.000177285      0.000011763      0.000202479        1.160        681.8
512                 5      0.000350000      0.000363517      0.000366110      0.000012254      0.000377295        1.078        683.6
1024                5      0.000618407      0.000691480      0.000649228      0.000084787      0.000829117        1.341        603.9
2048                5      0.001308426      0.001393726      0.001413820      0.000074966      0.001497437        1.144        638.9
4096                5      0.002987084      0.003295863      0.003231153      0.000270860      0.003592425        1.203        729.3
8192                5      0.006577302      0.007273359      0.006917672      0.000779101      0.008241662        1.253        802.9
16384               5      0.016660212      0.017392939      0.017127035      0.000725301      0.018394994        1.104       1016.9
32768               5      0.040193976      0.048751929      0.050208066      0.005069658      0.053675233        1.335       1226.6
65536               5      0.097507031      0.117964897      0.120155776      0.014850557      0.134373200        1.378       1487.8
131072              5      0.243419125      0.250523786      0.249337345      0.005750439      0.257611074        1.058       1857.1
262144              5      0.553521572      0.581854885      0.562752169      0.035280028      0.637966287        1.153       2111.5
524288              5      1.255761079      1.361756055      1.368541924      0.081837421      1.469612428        1.170       2395.2
1048576             5      2.708317342      2.865401031      2.899994708      0.110313169      2.995656263        1.106       2582.9
