# RSS was 310,874,112 now 1,010,921,472 diff: +700,047,360
# test_new_dict_unordered_map_str_str() String length 16
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000708      0.000002975      0.000000833      0.000004724      0.000011417       16.126        354.0
4                   5      0.000001250      0.000002433      0.000001375      0.000002415      0.000006750        5.400        312.5
8                   5      0.000002291      0.000003133      0.000002334      0.000001789      0.000006333        2.764        286.4
16                  5      0.000004375      0.000005142      0.000004417      0.000001577      0.000007958        1.819        273.4
32                  5      0.000008416      0.000009800      0.000008542      0.000002839      0.000014875        1.767        263.0
64                  5      0.000016291      0.000017775      0.000016500      0.000002882      0.000022917        1.407        254.5
128                 5      0.000031667      0.000033333      0.000032083      0.000002760      0.000038208        1.207        247.4
256                 5      0.000061916      0.000067058      0.000062458      0.000007459      0.000078959        1.275        241.9
512                 5      0.000130375      0.000140117      0.000132083      0.000014243      0.000163959        1.258        254.6
1024                5      0.000267667      0.000280175      0.000269334      0.000025404      0.000325583        1.216        261.4
2048                5      0.000537791      0.000563150      0.000540417      0.000051016      0.000654333        1.217        262.6
4096                5      0.001092000      0.001149192      0.001108250      0.000101405      0.001330167        1.218        266.6
8192                5      0.002094625      0.002294292      0.002219708      0.000225119      0.002681334        1.280        255.7
16384               5      0.004220333      0.004442725      0.004227917      0.000403798      0.005153875        1.221        257.6
32768               5      0.009103000      0.010791616      0.011001583      0.000995863      0.011759541        1.292        277.8
65536               5      0.018708291      0.020130675      0.019244375      0.001966547      0.023533042        1.258        285.5
131072              5      0.040369167      0.042157775      0.041062959      0.002896649      0.047303250        1.172        308.0
262144              5      0.105724459      0.109925917      0.111299375      0.004002389      0.115157875        1.089        403.3
524288              5      0.275985833      0.279283650      0.277856042      0.004056879      0.286079292        1.037        526.4
1048576             5      0.699367750      0.706584608      0.701084541      0.011970495      0.727657875        1.040        667.0
