# test_new_list_list_bool()
# RSS was 151,306,240 now 343,150,592 diff: +191,844,352
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000375      0.000002658      0.000000458      0.000004435      0.000010542       28.112        187.5
4                   5      0.000000459      0.000000533      0.000000500      0.000000080      0.000000666        1.451        114.8
8                   5      0.000000750      0.000001517      0.000000750      0.000001668      0.000004500        6.000         93.7
16                  5      0.000001208      0.000001225      0.000001209      0.000000037      0.000001292        1.070         75.5
32                  5      0.000002167      0.000002225      0.000002209      0.000000047      0.000002292        1.058         67.7
64                  5      0.000004000      0.000004050      0.000004000      0.000000091      0.000004209        1.052         62.5
128                 5      0.000007792      0.000056317      0.000007834      0.000108226      0.000249917       32.073         60.9
256                 5      0.000015292      0.000015600      0.000015375      0.000000574      0.000016625        1.087         59.7
512                 5      0.000029375      0.000030292      0.000030208      0.000001083      0.000032041        1.091         57.4
1024                5      0.000061375      0.000063100      0.000061541      0.000003442      0.000069250        1.128         59.9
2048                5      0.000123083      0.000124675      0.000123292      0.000003143      0.000130292        1.059         60.1
4096                5      0.000247458      0.000252242      0.000250667      0.000005411      0.000261583        1.057         60.4
8192                5      0.000486583      0.000502283      0.000494750      0.000024792      0.000545875        1.122         59.4
16384               5      0.000976625      0.000993592      0.000980792      0.000030281      0.001047291        1.072         59.6
32768               5      0.001929917      0.001986517      0.001956417      0.000080087      0.002127667        1.102         58.9
65536               5      0.003881250      0.003978584      0.003921458      0.000170775      0.004282042        1.103         59.2
131072              5      0.007721250      0.008005892      0.007916875      0.000392446      0.008683375        1.125         58.9
262144              5      0.015537959      0.016571392      0.016814208      0.000926277      0.017471917        1.124         59.3
524288              5      0.032439250      0.034434208      0.034716875      0.001173846      0.035556083        1.096         61.9
1048576             5      0.067991833      0.071588383      0.072515584      0.002022167      0.072747166        1.070         64.8
