# test_new_list_list_bool():
# RSS was 155,840,512 now 313,696,256 diff: +157,855,744
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000375      0.000002117      0.000000500      0.000003596      0.000008542       22.779        187.5
4                   5      0.000000458      0.000000508      0.000000500      0.000000069      0.000000625        1.365        114.5
8                   5      0.000000667      0.000000725      0.000000708      0.000000063      0.000000833        1.249         83.4
16                  5      0.000001125      0.000001150      0.000001125      0.000000056      0.000001250        1.111         70.3
32                  5      0.000002041      0.000002100      0.000002083      0.000000086      0.000002250        1.102         63.8
64                  5      0.000003833      0.000004509      0.000003834      0.000001510      0.000007209        1.881         59.9
128                 5      0.000007375      0.000053108      0.000007458      0.000101960      0.000235500       31.932         57.6
256                 5      0.000014625      0.000014917      0.000014666      0.000000583      0.000015958        1.091         57.1
512                 5      0.000029375      0.000030417      0.000029459      0.000001555      0.000032958        1.122         57.4
1024                5      0.000059167      0.000060375      0.000059333      0.000001667      0.000062958        1.064         57.8
2048                5      0.000118833      0.000120733      0.000119083      0.000003087      0.000126083        1.061         58.0
4096                5      0.000238916      0.000242042      0.000239292      0.000005873      0.000252500        1.057         58.3
8192                5      0.000477500      0.000486100      0.000478708      0.000017051      0.000516584        1.082         58.3
16384               5      0.000960625      0.000984400      0.000964709      0.000047538      0.001069375        1.113         58.6
32768               5      0.001908458      0.001946850      0.001925583      0.000067152      0.002066000        1.083         58.2
65536               5      0.003817583      0.003911733      0.003877417      0.000145941      0.004167333        1.092         58.3
131072              5      0.007681084      0.007930208      0.007884375      0.000338456      0.008508750        1.108         58.6
262144              5      0.015312084      0.016000791      0.016119291      0.000748789      0.017130208        1.119         58.4
524288              5      0.034285458      0.034456383      0.034420167      0.000191116      0.034777708        1.014         65.4
1048576             5      0.064584542      0.069338342      0.072078834      0.004044510      0.072516208        1.123         61.6
