# RSS was 140,603,392 now 136,491,008 diff: -4,112,384
# test_new_list_list_bytes() Byte length 128
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000698      0.000001656      0.000000795      0.000001916      0.000005076        7.272        349.0
4                   5      0.000001135      0.000001431      0.000001282      0.000000461      0.000002238        1.972        283.8
8                   5      0.000002130      0.000002279      0.000002220      0.000000206      0.000002636        1.238        266.2
16                  5      0.000003968      0.000004133      0.000004035      0.000000226      0.000004513        1.137        248.0
32                  5      0.000007664      0.000007883      0.000007764      0.000000349      0.000008500        1.109        239.5
64                  5      0.000015185      0.000015289      0.000015197      0.000000189      0.000015624        1.029        237.3
128                 5      0.000030171      0.000030840      0.000030196      0.000001427      0.000033392        1.107        235.7
256                 5      0.000060064      0.000060864      0.000060145      0.000001650      0.000063815        1.062        234.6
512                 5      0.000119700      0.000120801      0.000119957      0.000002056      0.000124473        1.040        233.8
1024                5      0.000241005      0.000243022      0.000241126      0.000004321      0.000250750        1.040        235.4
2048                5      0.000481946      0.000508785      0.000502241      0.000030271      0.000552579        1.147        235.3
4096                5      0.000934738      0.000953236      0.000935601      0.000034337      0.001014070        1.085        228.2
8192                5      0.002336285      0.002501010      0.002471621      0.000156313      0.002759518        1.181        285.2
16384               5      0.004529158      0.004764323      0.004690106      0.000300146      0.005263414        1.162        276.4
32768               5      0.010285857      0.011001888      0.010920085      0.000523927      0.011639269        1.132        313.9
65536               5      0.023929861      0.024423033      0.024339459      0.000559101      0.025341745        1.059        365.1
131072              5      0.051394203      0.053286421      0.053068370      0.002038123      0.056500451        1.099        392.1
262144              5      0.105350267      0.111752199      0.112279177      0.004689955      0.117773832        1.118        401.9
524288              5      0.218026362      0.228262973      0.230906139      0.007767169      0.235843114        1.082        415.9
1048576             5      0.447638590      0.466294920      0.471873872      0.011252179      0.475036495        1.061        426.9
