# RSS was 581,980,160 now 1,005,256,704 diff: +423,276,544
# test_new_list_list_bytes() Byte length 2
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000542      0.000002617      0.000000666      0.000004273      0.000010250       18.911        271.0
4                   5      0.000000833      0.000000875      0.000000875      0.000000042      0.000000917        1.101        208.3
8                   5      0.000001375      0.000001450      0.000001417      0.000000091      0.000001584        1.152        171.9
16                  5      0.000002458      0.000002483      0.000002459      0.000000037      0.000002542        1.034        153.6
32                  5      0.000004667      0.000004783      0.000004708      0.000000170      0.000005083        1.089        145.8
64                  5      0.000009000      0.000009067      0.000009042      0.000000063      0.000009167        1.019        140.6
128                 5      0.000017833      0.000018109      0.000017834      0.000000592      0.000019167        1.075        139.3
256                 5      0.000035208      0.000036567      0.000035333      0.000001951      0.000039709        1.128        137.5
512                 5      0.000075291      0.000076292      0.000076291      0.000001013      0.000077709        1.032        147.1
1024                5      0.000153875      0.000156941      0.000156833      0.000002337      0.000159250        1.035        150.3
2048                5      0.000313500      0.000315692      0.000316375      0.000001712      0.000317708        1.013        153.1
4096                5      0.000635292      0.000636983      0.000637583      0.000001297      0.000638375        1.005        155.1
8192                5      0.001279459      0.001283717      0.001284167      0.000002739      0.001286583        1.006        156.2
16384               5      0.002500291      0.002542942      0.002555708      0.000032479      0.002574250        1.030        152.6
32768               5      0.004570041      0.004706783      0.004592250      0.000192060      0.005008292        1.096        139.5
65536               5      0.009212750      0.009298550      0.009314500      0.000053416      0.009350125        1.015        140.6
131072              5      0.019237833      0.019472158      0.019313208      0.000256630      0.019758375        1.027        146.8
262144              5      0.041805542      0.044173475      0.044371584      0.001428887      0.045640875        1.092        159.5
524288              5      0.089525292      0.090670608      0.089583167      0.001564554      0.092802083        1.037        170.8
1048576             5      0.172874917      0.180821025      0.182046833      0.005578500      0.186187792        1.077        164.9
