# test_new_list_list_complex()
# RSS was 585,003,008 now 631,877,632 diff: +46,874,624
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000417      0.000002617      0.000000500      0.000004643      0.000010917       26.180        208.5
4                   5      0.000000583      0.000000642      0.000000583      0.000000130      0.000000875        1.501        145.7
8                   5      0.000000875      0.000000942      0.000000917      0.000000063      0.000001042        1.191        109.4
16                  5      0.000001500      0.000001550      0.000001541      0.000000054      0.000001625        1.083         93.8
32                  5      0.000002750      0.000002825      0.000002791      0.000000123      0.000003042        1.106         85.9
64                  5      0.000005208      0.000005267      0.000005250      0.000000086      0.000005417        1.040         81.4
128                 5      0.000010291      0.000010392      0.000010292      0.000000181      0.000010709        1.041         80.4
256                 5      0.000020250      0.000020350      0.000020333      0.000000113      0.000020542        1.014         79.1
512                 5      0.000040125      0.000040266      0.000040167      0.000000225      0.000040666        1.013         78.4
1024                5      0.000080666      0.000081175      0.000080709      0.000001044      0.000083042        1.029         78.8
2048                5      0.000161500      0.000161933      0.000161667      0.000000694      0.000163167        1.010         78.9
4096                5      0.000323084      0.000323275      0.000323125      0.000000339      0.000323875        1.002         78.9
8192                5      0.000646542      0.000649317      0.000648209      0.000003443      0.000655208        1.013         78.9
16384               5      0.001291333      0.001304958      0.001300833      0.000015280      0.001330000        1.030         78.8
32768               5      0.002582000      0.002605600      0.002596167      0.000034264      0.002665709        1.032         78.8
65536               5      0.005172459      0.005224275      0.005217500      0.000065343      0.005334000        1.031         78.9
131072              5      0.010595666      0.010814283      0.010786250      0.000282784      0.011290542        1.066         80.8
262144              5      0.021970750      0.022596567      0.022542917      0.000575347      0.023534667        1.071         83.8
524288              5      0.045990792      0.046232142      0.046253708      0.000147822      0.046379750        1.008         87.7
1048576             5      0.094641875      0.095943567      0.095784417      0.001265264      0.098045208        1.036         90.3
