# test_new_list_list_float()
# RSS was 546,123,776 now 637,755,392 diff: +91,631,616
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000375      0.000001200      0.000000500      0.000001528      0.000003917       10.445        187.5
4                   5      0.000000542      0.000000592      0.000000583      0.000000045      0.000000666        1.229        135.5
8                   5      0.000000834      0.000000892      0.000000875      0.000000063      0.000000959        1.150        104.2
16                  5      0.000001375      0.000001433      0.000001416      0.000000063      0.000001542        1.121         85.9
32                  5      0.000002500      0.000002558      0.000002500      0.000000109      0.000002750        1.100         78.1
64                  5      0.000004708      0.000004825      0.000004750      0.000000170      0.000005125        1.089         73.6
128                 5      0.000009500      0.000009733      0.000009583      0.000000327      0.000010292        1.083         74.2
256                 5      0.000019917      0.000020125      0.000020000      0.000000309      0.000020666        1.038         77.8
512                 5      0.000040708      0.000040950      0.000040750      0.000000472      0.000041791        1.027         79.5
1024                5      0.000082459      0.000083217      0.000082709      0.000001224      0.000085375        1.035         80.5
2048                5      0.000166375      0.000166809      0.000166625      0.000000502      0.000167667        1.008         81.2
4096                5      0.000333959      0.000334392      0.000334250      0.000000387      0.000334959        1.003         81.5
8192                5      0.000668250      0.000670133      0.000669375      0.000001733      0.000672667        1.007         81.6
16384               5      0.001335125      0.001337242      0.001337375      0.000002239      0.001340625        1.004         81.5
32768               5      0.002672792      0.002680950      0.002683250      0.000005168      0.002685208        1.005         81.6
65536               5      0.005388000      0.005457808      0.005434000      0.000094840      0.005622125        1.043         82.2
131072              5      0.010988958      0.011194067      0.011006583      0.000414062      0.011933583        1.086         83.8
262144              5      0.022098042      0.023014758      0.022628000      0.001009842      0.024710667        1.118         84.3
524288              5      0.046856042      0.048712025      0.048877209      0.001454397      0.050534750        1.079         89.4
1048576             5      0.096072458      0.096872208      0.096629875      0.000785775      0.098152667        1.022         91.6
