# test_new_list_list_int()
# RSS was 343,166,976 now 581,206,016 diff: +238,039,040
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000375      0.000001184      0.000000459      0.000001535      0.000003917       10.445        187.5
4                   5      0.000000458      0.000000500      0.000000500      0.000000051      0.000000583        1.273        114.5
8                   5      0.000000708      0.000000758      0.000000750      0.000000054      0.000000833        1.177         88.5
16                  5      0.000001208      0.000001250      0.000001250      0.000000051      0.000001333        1.103         75.5
32                  5      0.000002208      0.000002242      0.000002250      0.000000035      0.000002292        1.038         69.0
64                  5      0.000004125      0.000004150      0.000004166      0.000000023      0.000004167        1.010         64.5
128                 5      0.000008125      0.000008250      0.000008208      0.000000166      0.000008541        1.051         63.5
256                 5      0.000015792      0.000016617      0.000015833      0.000001752      0.000019750        1.251         61.7
512                 5      0.000035500      0.000036258      0.000035542      0.000001557      0.000039041        1.100         69.3
1024                5      0.000075458      0.000078325      0.000078959      0.000002890      0.000082209        1.089         73.7
2048                5      0.000154708      0.000161392      0.000159250      0.000007672      0.000174667        1.129         75.5
4096                5      0.000317000      0.000322967      0.000321375      0.000007904      0.000336459        1.061         77.4
8192                5      0.000639833      0.000652900      0.000647334      0.000019334      0.000686916        1.074         78.1
16384               5      0.001286625      0.001306075      0.001289625      0.000039441      0.001376583        1.070         78.5
32768               5      0.002539833      0.002579283      0.002550959      0.000075051      0.002713125        1.068         77.5
65536               5      0.005058416      0.005151708      0.005111875      0.000138491      0.005393791        1.066         77.2
131072              5      0.010405834      0.010739650      0.010602000      0.000412786      0.011459166        1.101         79.4
262144              5      0.021823500      0.022435792      0.022570042      0.000624145      0.023336875        1.069         83.3
524288              5      0.047321375      0.048210125      0.048025250      0.000781311      0.049464000        1.045         90.3
1048576             5      0.096361833      0.099824417      0.100523375      0.001974293      0.101310625        1.051         91.9
